
**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_15_53_58 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_53_58 	PASS      		Step pass.
2016-09-29_15_53_58 	NORMAL    	Executing postcommand
2016-09-29_15_53_58 	NORMAL    	Executing verify
2016-09-29_15_53_58 	NORMAL    		实际测试结果：[]
2016-09-29_15_53_58 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_15_55_25 	NORMAL    	Executing precommand
2016-09-29_15_55_25 	NORMAL    	Executing steps
2016-09-29_15_55_25 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_55_25 	PASS      		Step pass.
2016-09-29_15_55_25 	NORMAL    	Executing postcommand
2016-09-29_15_55_25 	NORMAL    	Executing verify
2016-09-29_15_55_25 	NORMAL    		实际测试结果：[]
2016-09-29_15_55_25 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_16_06_03 	NORMAL    	Executing precommand
2016-09-29_16_06_03 	NORMAL    	Executing steps
2016-09-29_16_06_03 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_16_06_04 	PASS      		Step pass.
2016-09-29_16_06_04 	NORMAL    	Executing postcommand
2016-09-29_16_06_04 	NORMAL    	Executing verify
2016-09-29_16_06_04 	NORMAL    		实际测试结果：[]
2016-09-29_16_06_04 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_16_18_23 	NORMAL    	Executing precommand
2016-09-29_16_18_23 	NORMAL    	Executing steps
2016-09-29_16_18_23 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_16_18_23 	PASS      		Step pass.
2016-09-29_16_18_23 	NORMAL    	Executing postcommand
2016-09-29_16_18_23 	NORMAL    	Executing verify
2016-09-29_16_18_23 	NORMAL    		实际测试结果：[]
2016-09-29_16_18_23 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_16_19_04 	NORMAL    	Executing precommand
2016-09-29_16_19_04 	NORMAL    	Executing steps
2016-09-29_16_19_04 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_16_19_04 	PASS      		Step pass.
2016-09-29_16_19_04 	NORMAL    	Executing postcommand
2016-09-29_16_19_04 	NORMAL    	Executing verify
2016-09-29_16_19_04 	NORMAL    		实际测试结果：[]
2016-09-29_16_19_04 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_16_20_18 	NORMAL    	Executing precommand
2016-09-29_16_20_18 	NORMAL    	Executing steps
2016-09-29_16_20_18 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_16_20_18 	PASS      		Step pass.
2016-09-29_16_20_18 	NORMAL    	Executing postcommand
2016-09-29_16_20_18 	NORMAL    	Executing verify
2016-09-29_16_20_18 	NORMAL    		实际测试结果：[]
2016-09-29_16_20_18 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_16_21_48 	NORMAL    	Executing precommand
2016-09-29_16_21_48 	NORMAL    	Executing steps
2016-09-29_16_21_48 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_16_21_48 	PASS      		Step pass.
2016-09-29_16_21_48 	NORMAL    	Executing postcommand
2016-09-29_16_21_48 	NORMAL    	Executing verify
2016-09-29_16_21_48 	NORMAL    		实际测试结果：[]
2016-09-29_16_21_48 	PASS      		Verify complete.[Start example test.]
