
**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_17_16_48 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_17_16_48 	PASS      		Step pass.
2016-09-21_17_16_48 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_17_16_48 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_17_22_31 	NORMAL    	Executing precommand
2016-09-21_17_22_31 	NORMAL    	Executing steps
2016-09-21_17_22_31 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_17_22_32 	PASS      		Step pass.
2016-09-21_17_22_32 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_17_22_42 	ERROR     	Timeout at 10 seconds.Element(id) not found.

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_17_24_47 	NORMAL    	Executing precommand
2016-09-21_17_24_47 	NORMAL    	Executing steps
2016-09-21_17_24_47 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_17_24_47 	PASS      		Step pass.
2016-09-21_17_24_47 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_17_24_57 	ERROR     	Timeout at 10 seconds.Element(id) not found.

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_17_26_42 	NORMAL    	Executing precommand
2016-09-21_17_26_42 	NORMAL    	Executing steps
2016-09-21_17_26_42 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_17_26_42 	PASS      		Step pass.
2016-09-21_17_26_42 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_17_26_52 	ERROR     	Timeout at 10 seconds.Element(id) not found.

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_17_30_25 	NORMAL    	Executing precommand
2016-09-21_17_30_25 	NORMAL    	Executing steps
2016-09-21_17_30_25 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_17_30_25 	PASS      		Step pass.
2016-09-21_17_30_25 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_17_30_35 	ERROR     	Timeout at 10 seconds.Element(id) not found.
