
**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_34_51 	NORMAL    	Executing precommand
2016-09-23_11_34_51 	NORMAL    	Executing steps
2016-09-23_11_34_51 	NORMAL    	Executing postcommand
2016-09-23_11_34_51 	NORMAL    	Executing verify
2016-09-23_11_34_51 	NORMAL    		实际测试结果：[]
2016-09-23_11_34_51 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_37_19 	NORMAL    	Executing precommand
2016-09-23_11_37_19 	NORMAL    	Executing steps
2016-09-23_11_37_19 	NORMAL    	Executing postcommand
2016-09-23_11_37_19 	NORMAL    	Executing verify
2016-09-23_11_37_19 	NORMAL    		实际测试结果：[]
2016-09-23_11_37_19 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_41_53 	NORMAL    	Executing precommand
2016-09-23_11_41_53 	NORMAL    	Executing steps
2016-09-23_11_41_53 	NORMAL    	Executing postcommand
2016-09-23_11_41_53 	NORMAL    	Executing verify
2016-09-23_11_41_53 	NORMAL    		实际测试结果：[]
2016-09-23_11_41_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_45_56 	NORMAL    	Executing precommand
2016-09-23_11_45_56 	NORMAL    	Executing steps
2016-09-23_11_45_56 	NORMAL    	Executing postcommand
2016-09-23_11_45_56 	NORMAL    	Executing verify
2016-09-23_11_45_56 	NORMAL    		实际测试结果：[]
2016-09-23_11_45_56 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_46_49 	NORMAL    	Executing precommand
2016-09-23_11_46_49 	NORMAL    	Executing steps
2016-09-23_11_46_49 	NORMAL    	Executing postcommand
2016-09-23_11_46_49 	NORMAL    	Executing verify
2016-09-23_11_46_49 	NORMAL    		实际测试结果：[]
2016-09-23_11_46_49 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_47_21 	NORMAL    	Executing precommand
2016-09-23_11_47_21 	NORMAL    	Executing steps
2016-09-23_11_47_21 	NORMAL    	Executing postcommand
2016-09-23_11_47_21 	NORMAL    	Executing verify
2016-09-23_11_47_21 	NORMAL    		实际测试结果：[]
2016-09-23_11_47_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_47_29 	NORMAL    	Executing precommand
2016-09-23_11_47_29 	NORMAL    	Executing steps
2016-09-23_11_47_29 	NORMAL    	Executing postcommand
2016-09-23_11_47_29 	NORMAL    	Executing verify
2016-09-23_11_47_29 	NORMAL    		实际测试结果：[]
2016-09-23_11_47_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_48_08 	NORMAL    	Executing precommand
2016-09-23_11_48_08 	NORMAL    	Executing steps
2016-09-23_11_48_08 	NORMAL    	Executing postcommand
2016-09-23_11_48_08 	NORMAL    	Executing verify
2016-09-23_11_48_08 	NORMAL    		实际测试结果：[]
2016-09-23_11_48_08 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_49_25 	NORMAL    	Executing precommand
2016-09-23_11_49_25 	NORMAL    	Executing steps
2016-09-23_11_49_25 	NORMAL    	Executing postcommand
2016-09-23_11_49_25 	NORMAL    	Executing verify
2016-09-23_11_49_25 	NORMAL    		实际测试结果：[]
2016-09-23_11_49_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_50_21 	NORMAL    	Executing precommand
2016-09-23_11_50_21 	NORMAL    	Executing steps
2016-09-23_11_50_21 	NORMAL    	Executing postcommand
2016-09-23_11_50_21 	NORMAL    	Executing verify
2016-09-23_11_50_21 	NORMAL    		实际测试结果：[]
2016-09-23_11_50_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_52_39 	NORMAL    	Executing precommand
2016-09-23_11_52_39 	NORMAL    	Executing steps
2016-09-23_11_52_39 	NORMAL    	Executing postcommand
2016-09-23_11_52_39 	NORMAL    	Executing verify
2016-09-23_11_52_39 	NORMAL    		实际测试结果：[]
2016-09-23_11_52_39 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_53_03 	NORMAL    	Executing precommand
2016-09-23_11_53_03 	NORMAL    	Executing steps
2016-09-23_11_53_03 	NORMAL    	Executing postcommand
2016-09-23_11_53_03 	NORMAL    	Executing verify
2016-09-23_11_53_03 	NORMAL    		实际测试结果：[]
2016-09-23_11_53_03 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_53_49 	NORMAL    	Executing precommand
2016-09-23_11_53_49 	NORMAL    	Executing steps
2016-09-23_11_53_49 	NORMAL    	Executing postcommand
2016-09-23_11_53_49 	NORMAL    	Executing verify
2016-09-23_11_53_49 	NORMAL    		实际测试结果：[]
2016-09-23_11_53_49 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_53_59 	NORMAL    	Executing precommand
2016-09-23_11_53_59 	NORMAL    	Executing steps
2016-09-23_11_53_59 	NORMAL    	Executing postcommand
2016-09-23_11_53_59 	NORMAL    	Executing verify
2016-09-23_11_53_59 	NORMAL    		实际测试结果：[]
2016-09-23_11_53_59 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_54_08 	NORMAL    	Executing precommand
2016-09-23_11_54_08 	NORMAL    	Executing steps
2016-09-23_11_54_08 	NORMAL    	Executing postcommand
2016-09-23_11_54_08 	NORMAL    	Executing verify
2016-09-23_11_54_08 	NORMAL    		实际测试结果：[]
2016-09-23_11_54_08 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_54_21 	NORMAL    	Executing precommand
2016-09-23_11_54_21 	NORMAL    	Executing steps
2016-09-23_11_54_21 	NORMAL    	Executing postcommand
2016-09-23_11_54_21 	NORMAL    	Executing verify
2016-09-23_11_54_21 	NORMAL    		实际测试结果：[]
2016-09-23_11_54_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_54_41 	NORMAL    	Executing precommand
2016-09-23_11_54_41 	NORMAL    	Executing steps
2016-09-23_11_54_41 	NORMAL    	Executing postcommand
2016-09-23_11_54_41 	NORMAL    	Executing verify
2016-09-23_11_54_41 	NORMAL    		实际测试结果：[]
2016-09-23_11_54_41 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_54_59 	NORMAL    	Executing precommand
2016-09-23_11_54_59 	NORMAL    	Executing steps
2016-09-23_11_54_59 	NORMAL    	Executing postcommand
2016-09-23_11_54_59 	NORMAL    	Executing verify
2016-09-23_11_54_59 	NORMAL    		实际测试结果：[]
2016-09-23_11_54_59 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_55_36 	NORMAL    	Executing precommand
2016-09-23_11_55_36 	NORMAL    	Executing steps
2016-09-23_11_55_36 	NORMAL    	Executing postcommand
2016-09-23_11_55_36 	NORMAL    	Executing verify
2016-09-23_11_55_36 	NORMAL    		实际测试结果：[]
2016-09-23_11_55_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_55_45 	NORMAL    	Executing precommand
2016-09-23_11_55_45 	NORMAL    	Executing steps
2016-09-23_11_55_45 	NORMAL    	Executing postcommand
2016-09-23_11_55_45 	NORMAL    	Executing verify
2016-09-23_11_55_45 	NORMAL    		实际测试结果：[]
2016-09-23_11_55_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_55_53 	NORMAL    	Executing precommand
2016-09-23_11_55_53 	NORMAL    	Executing steps
2016-09-23_11_55_53 	NORMAL    	Executing postcommand
2016-09-23_11_55_53 	NORMAL    	Executing verify
2016-09-23_11_55_53 	NORMAL    		实际测试结果：[]
2016-09-23_11_55_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_56_12 	NORMAL    	Executing precommand
2016-09-23_11_56_12 	NORMAL    	Executing steps
2016-09-23_11_56_12 	NORMAL    	Executing postcommand
2016-09-23_11_56_12 	NORMAL    	Executing verify
2016-09-23_11_56_12 	NORMAL    		实际测试结果：[]
2016-09-23_11_56_12 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_13_39_52 	NORMAL    	Executing precommand
2016-09-23_13_39_52 	NORMAL    	Executing steps
2016-09-23_13_39_52 	NORMAL    	Executing postcommand
2016-09-23_13_39_52 	NORMAL    	Executing verify
2016-09-23_13_39_52 	NORMAL    		实际测试结果：[]
2016-09-23_13_39_52 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_13_40_29 	NORMAL    	Executing precommand
2016-09-23_13_40_29 	NORMAL    	Executing steps
2016-09-23_13_40_29 	NORMAL    	Executing postcommand
2016-09-23_13_40_29 	NORMAL    	Executing verify
2016-09-23_13_40_29 	NORMAL    		实际测试结果：[]
2016-09-23_13_40_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_15_28_38 	NORMAL    	Executing precommand
2016-09-23_15_28_38 	NORMAL    	Executing steps
2016-09-23_15_28_38 	NORMAL    	Executing postcommand
2016-09-23_15_28_38 	NORMAL    	Executing verify
2016-09-23_15_28_38 	NORMAL    		实际测试结果：[]
2016-09-23_15_28_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_15_29_47 	NORMAL    	Executing precommand
2016-09-23_15_29_47 	NORMAL    	Executing steps
2016-09-23_15_29_47 	NORMAL    	Executing postcommand
2016-09-23_15_29_47 	NORMAL    	Executing verify
2016-09-23_15_29_47 	NORMAL    		实际测试结果：[]
2016-09-23_15_29_47 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_15_44_10 	NORMAL    	Executing precommand
2016-09-23_15_44_10 	NORMAL    	Executing steps
2016-09-23_15_44_10 	NORMAL    	Executing postcommand
2016-09-23_15_44_10 	NORMAL    	Executing verify
2016-09-23_15_44_10 	NORMAL    		实际测试结果：[]
2016-09-23_15_44_10 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_05_42 	NORMAL    	Executing precommand
2016-09-23_16_05_42 	NORMAL    	Executing steps
2016-09-23_16_05_42 	NORMAL    	Executing postcommand
2016-09-23_16_05_42 	NORMAL    	Executing verify
2016-09-23_16_05_42 	NORMAL    		实际测试结果：[]
2016-09-23_16_05_42 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_06_07 	NORMAL    	Executing precommand
2016-09-23_16_06_07 	NORMAL    	Executing steps
2016-09-23_16_06_07 	NORMAL    	Executing postcommand
2016-09-23_16_06_07 	NORMAL    	Executing verify
2016-09-23_16_06_07 	NORMAL    		实际测试结果：[]
2016-09-23_16_06_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_08_07 	NORMAL    	Executing precommand
2016-09-23_16_08_07 	NORMAL    	Executing steps
2016-09-23_16_08_07 	NORMAL    	Executing postcommand
2016-09-23_16_08_07 	NORMAL    	Executing verify
2016-09-23_16_08_07 	NORMAL    		实际测试结果：[]
2016-09-23_16_08_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_08_27 	NORMAL    	Executing precommand
2016-09-23_16_08_27 	NORMAL    	Executing steps
2016-09-23_16_08_27 	NORMAL    	Executing postcommand
2016-09-23_16_08_27 	NORMAL    	Executing verify
2016-09-23_16_08_27 	NORMAL    		实际测试结果：[]
2016-09-23_16_08_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_09_45 	NORMAL    	Executing precommand
2016-09-23_16_09_45 	NORMAL    	Executing steps
2016-09-23_16_09_45 	NORMAL    	Executing postcommand
2016-09-23_16_09_45 	NORMAL    	Executing verify
2016-09-23_16_09_45 	NORMAL    		实际测试结果：[]
2016-09-23_16_09_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_10_10 	NORMAL    	Executing precommand
2016-09-23_16_10_10 	NORMAL    	Executing steps
2016-09-23_16_10_10 	NORMAL    	Executing postcommand
2016-09-23_16_10_10 	NORMAL    	Executing verify
2016-09-23_16_10_10 	NORMAL    		实际测试结果：[]
2016-09-23_16_10_10 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_12_53 	NORMAL    	Executing precommand
2016-09-23_16_12_53 	NORMAL    	Executing steps
2016-09-23_16_12_53 	NORMAL    	Executing postcommand
2016-09-23_16_12_53 	NORMAL    	Executing verify
2016-09-23_16_12_53 	NORMAL    		实际测试结果：[]
2016-09-23_16_12_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_14_03 	NORMAL    	Executing precommand
2016-09-23_16_14_03 	NORMAL    	Executing steps
2016-09-23_16_14_03 	NORMAL    	Executing postcommand
2016-09-23_16_14_03 	NORMAL    	Executing verify
2016-09-23_16_14_03 	NORMAL    		实际测试结果：[]
2016-09-23_16_14_03 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_15_02 	NORMAL    	Executing precommand
2016-09-23_16_15_02 	NORMAL    	Executing steps
2016-09-23_16_15_02 	NORMAL    	Executing postcommand
2016-09-23_16_15_02 	NORMAL    	Executing verify
2016-09-23_16_15_02 	NORMAL    		实际测试结果：[]
2016-09-23_16_15_02 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_15_53 	NORMAL    	Executing precommand
2016-09-23_16_15_53 	NORMAL    	Executing steps
2016-09-23_16_15_53 	NORMAL    	Executing postcommand
2016-09-23_16_15_53 	NORMAL    	Executing verify
2016-09-23_16_15_53 	NORMAL    		实际测试结果：[]
2016-09-23_16_15_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_17_01 	NORMAL    	Executing precommand
2016-09-23_16_17_01 	NORMAL    	Executing steps
2016-09-23_16_17_01 	NORMAL    	Executing postcommand
2016-09-23_16_17_01 	NORMAL    	Executing verify
2016-09-23_16_17_01 	NORMAL    		实际测试结果：[]
2016-09-23_16_17_01 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_17_36 	NORMAL    	Executing precommand
2016-09-23_16_17_36 	NORMAL    	Executing steps
2016-09-23_16_17_36 	NORMAL    	Executing postcommand
2016-09-23_16_17_36 	NORMAL    	Executing verify
2016-09-23_16_17_36 	NORMAL    		实际测试结果：[]
2016-09-23_16_17_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_26_33 	NORMAL    	Executing precommand
2016-09-23_16_26_33 	NORMAL    	Executing steps
2016-09-23_16_26_33 	NORMAL    	Executing postcommand
2016-09-23_16_26_33 	NORMAL    	Executing verify
2016-09-23_16_26_33 	NORMAL    		实际测试结果：[]
2016-09-23_16_26_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_28_48 	NORMAL    	Executing precommand
2016-09-23_16_28_48 	NORMAL    	Executing steps
2016-09-23_16_28_48 	NORMAL    	Executing postcommand
2016-09-23_16_28_48 	NORMAL    	Executing verify
2016-09-23_16_28_48 	NORMAL    		实际测试结果：[]
2016-09-23_16_28_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_29_23 	NORMAL    	Executing precommand
2016-09-23_16_29_23 	NORMAL    	Executing steps
2016-09-23_16_29_23 	NORMAL    	Executing postcommand
2016-09-23_16_29_23 	NORMAL    	Executing verify
2016-09-23_16_29_23 	NORMAL    		实际测试结果：[]
2016-09-23_16_29_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_57_23 	NORMAL    	Executing precommand
2016-09-23_16_57_23 	NORMAL    	Executing steps
2016-09-23_16_57_23 	NORMAL    	Executing postcommand
2016-09-23_16_57_23 	NORMAL    	Executing verify
2016-09-23_16_57_23 	NORMAL    		实际测试结果：[]
2016-09-23_16_57_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_57_43 	NORMAL    	Executing precommand
2016-09-23_16_57_43 	NORMAL    	Executing steps
2016-09-23_16_57_43 	NORMAL    	Executing postcommand
2016-09-23_16_57_43 	NORMAL    	Executing verify
2016-09-23_16_57_43 	NORMAL    		实际测试结果：[]
2016-09-23_16_57_43 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_57_58 	NORMAL    	Executing precommand
2016-09-23_16_57_58 	NORMAL    	Executing steps
2016-09-23_16_57_58 	NORMAL    	Executing postcommand
2016-09-23_16_57_58 	NORMAL    	Executing verify
2016-09-23_16_57_58 	NORMAL    		实际测试结果：[]
2016-09-23_16_57_58 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_16_58_55 	NORMAL    	Executing precommand
2016-09-23_16_58_55 	NORMAL    	Executing steps
2016-09-23_16_58_55 	NORMAL    	Executing postcommand
2016-09-23_16_58_55 	NORMAL    	Executing verify
2016-09-23_16_58_55 	NORMAL    		实际测试结果：[]
2016-09-23_16_58_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_00_47 	NORMAL    	Executing precommand
2016-09-23_17_00_47 	NORMAL    	Executing steps
2016-09-23_17_00_47 	NORMAL    	Executing postcommand
2016-09-23_17_00_47 	NORMAL    	Executing verify
2016-09-23_17_00_47 	NORMAL    		实际测试结果：[]
2016-09-23_17_00_47 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_02_12 	NORMAL    	Executing precommand
2016-09-23_17_02_12 	NORMAL    	Executing steps
2016-09-23_17_02_12 	NORMAL    	Executing postcommand
2016-09-23_17_02_12 	NORMAL    	Executing verify
2016-09-23_17_02_12 	NORMAL    		实际测试结果：[]
2016-09-23_17_02_12 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_02_26 	NORMAL    	Executing precommand
2016-09-23_17_02_26 	NORMAL    	Executing steps
2016-09-23_17_02_26 	NORMAL    	Executing postcommand
2016-09-23_17_02_26 	NORMAL    	Executing verify
2016-09-23_17_02_26 	NORMAL    		实际测试结果：[]
2016-09-23_17_02_26 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_06_39 	NORMAL    	Executing precommand
2016-09-23_17_06_39 	NORMAL    	Executing steps
2016-09-23_17_06_39 	NORMAL    	Executing postcommand
2016-09-23_17_06_39 	NORMAL    	Executing verify
2016-09-23_17_06_39 	NORMAL    		实际测试结果：[]
2016-09-23_17_06_39 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_13_49 	NORMAL    	Executing precommand
2016-09-23_17_13_49 	NORMAL    	Executing steps
2016-09-23_17_13_49 	NORMAL    	Executing postcommand
2016-09-23_17_13_49 	NORMAL    	Executing verify
2016-09-23_17_13_49 	NORMAL    		实际测试结果：[]
2016-09-23_17_13_49 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_16_20 	NORMAL    	Executing precommand
2016-09-23_17_16_20 	NORMAL    	Executing steps
2016-09-23_17_16_20 	NORMAL    	Executing postcommand
2016-09-23_17_16_20 	NORMAL    	Executing verify
2016-09-23_17_16_20 	NORMAL    		实际测试结果：[]
2016-09-23_17_16_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_16_48 	NORMAL    	Executing precommand
2016-09-23_17_16_48 	NORMAL    	Executing steps
2016-09-23_17_16_48 	NORMAL    	Executing postcommand
2016-09-23_17_16_48 	NORMAL    	Executing verify
2016-09-23_17_16_48 	NORMAL    		实际测试结果：[]
2016-09-23_17_16_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_18_24 	NORMAL    	Executing precommand
2016-09-23_17_18_24 	NORMAL    	Executing steps
2016-09-23_17_18_24 	NORMAL    	Executing postcommand
2016-09-23_17_18_24 	NORMAL    	Executing verify
2016-09-23_17_18_24 	NORMAL    		实际测试结果：[]
2016-09-23_17_18_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_18_25 	NORMAL    	Executing precommand
2016-09-23_17_18_25 	NORMAL    	Executing steps
2016-09-23_17_18_25 	NORMAL    	Executing postcommand
2016-09-23_17_18_25 	NORMAL    	Executing verify
2016-09-23_17_18_25 	NORMAL    		实际测试结果：[]
2016-09-23_17_18_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_45_21 	NORMAL    	Executing precommand
2016-09-23_17_45_21 	NORMAL    	Executing steps
2016-09-23_17_45_21 	NORMAL    	Executing postcommand
2016-09-23_17_45_21 	NORMAL    	Executing verify
2016-09-23_17_45_21 	NORMAL    		实际测试结果：[]
2016-09-23_17_45_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_48_24 	NORMAL    	Executing precommand
2016-09-23_17_48_24 	NORMAL    	Executing steps
2016-09-23_17_48_24 	NORMAL    	Executing postcommand
2016-09-23_17_48_24 	NORMAL    	Executing verify
2016-09-23_17_48_24 	NORMAL    		实际测试结果：[]
2016-09-23_17_48_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_17_53_53 	NORMAL    	Executing precommand
2016-09-23_17_53_53 	NORMAL    	Executing steps
2016-09-23_17_53_53 	NORMAL    	Executing postcommand
2016-09-23_17_53_53 	NORMAL    	Executing verify
2016-09-23_17_53_53 	NORMAL    		实际测试结果：[]
2016-09-23_17_53_53 	PASS      		Verify complete.[前置操作]
