
**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_37_42 	PASS      		Step pass.
2016-09-29_11_37_42 	NORMAL    	Executing postcommand
2016-09-29_11_37_42 	NORMAL    	Executing verify
2016-09-29_11_37_42 	NORMAL    		实际测试结果：[]
2016-09-29_11_37_42 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_38_26 	NORMAL    	Executing precommand
2016-09-29_11_38_26 	NORMAL    	Executing steps
2016-09-29_11_38_26 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_38_27 	PASS      		Step pass.
2016-09-29_11_38_27 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_38_28 	PASS      		Step pass.
2016-09-29_11_38_28 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_38_28 	PASS      		Step pass.
2016-09-29_11_38_28 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_38_28 	PASS      		Step pass.
2016-09-29_11_38_28 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_38_28 	PASS      		Step pass.
2016-09-29_11_38_28 	NORMAL    	Executing postcommand
2016-09-29_11_38_28 	NORMAL    	Executing verify
2016-09-29_11_38_28 	NORMAL    		实际测试结果：[]
2016-09-29_11_38_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_42_53 	NORMAL    	Executing precommand
2016-09-29_11_42_53 	NORMAL    	Executing steps
2016-09-29_11_42_53 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_42_54 	PASS      		Step pass.
2016-09-29_11_42_54 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_42_55 	PASS      		Step pass.
2016-09-29_11_42_55 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_42_56 	PASS      		Step pass.
2016-09-29_11_42_56 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_42_56 	PASS      		Step pass.
2016-09-29_11_42_56 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_42_56 	PASS      		Step pass.
2016-09-29_11_42_56 	NORMAL    	Executing postcommand
2016-09-29_11_42_56 	NORMAL    	Executing verify
2016-09-29_11_42_56 	NORMAL    		实际测试结果：[]
2016-09-29_11_42_56 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_43_35 	NORMAL    	Executing precommand
2016-09-29_11_43_35 	NORMAL    	Executing steps
2016-09-29_11_43_35 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_43_38 	PASS      		Step pass.
2016-09-29_11_43_38 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_43_38 	PASS      		Step pass.
2016-09-29_11_43_38 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_43_39 	PASS      		Step pass.
2016-09-29_11_43_39 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_43_39 	PASS      		Step pass.
2016-09-29_11_43_39 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_43_39 	PASS      		Step pass.
2016-09-29_11_43_39 	NORMAL    	Executing postcommand
2016-09-29_11_43_39 	NORMAL    	Executing verify
2016-09-29_11_43_39 	NORMAL    		实际测试结果：[]
2016-09-29_11_43_39 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_13_45_04 	NORMAL    	Executing precommand
2016-09-29_13_45_04 	NORMAL    	Executing steps
2016-09-29_13_45_04 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_13_45_06 	PASS      		Step pass.
2016-09-29_13_45_06 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_13_45_21 	PASS      		Step pass.
2016-09-29_13_45_21 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_13_45_24 	PASS      		Step pass.
2016-09-29_13_45_24 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_13_45_24 	PASS      		Step pass.
2016-09-29_13_45_24 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_13_45_24 	PASS      		Step pass.
2016-09-29_13_45_24 	NORMAL    	Executing postcommand
2016-09-29_13_45_24 	NORMAL    	Executing verify
2016-09-29_13_45_24 	NORMAL    		实际测试结果：[]
2016-09-29_13_45_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_13_56_10 	NORMAL    	Executing precommand
2016-09-29_13_56_10 	NORMAL    	Executing steps
2016-09-29_13_56_10 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_13_56_12 	PASS      		Step pass.
2016-09-29_13_56_12 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_13_56_13 	PASS      		Step pass.
2016-09-29_13_56_13 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_13_56_13 	PASS      		Step pass.
2016-09-29_13_56_13 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_13_56_13 	PASS      		Step pass.
2016-09-29_13_56_13 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_13_56_13 	PASS      		Step pass.
2016-09-29_13_56_14 	NORMAL    	Executing postcommand
2016-09-29_13_56_14 	NORMAL    	Executing verify
2016-09-29_13_56_14 	NORMAL    		实际测试结果：[]
2016-09-29_13_56_14 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_13_57_31 	NORMAL    	Executing precommand
2016-09-29_13_57_31 	NORMAL    	Executing steps
2016-09-29_13_57_31 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_13_57_33 	PASS      		Step pass.
2016-09-29_13_57_33 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_13_57_34 	PASS      		Step pass.
2016-09-29_13_57_34 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_13_57_34 	PASS      		Step pass.
2016-09-29_13_57_34 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_13_57_34 	PASS      		Step pass.
2016-09-29_13_57_34 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_13_57_34 	PASS      		Step pass.
2016-09-29_13_57_34 	NORMAL    	Executing postcommand
2016-09-29_13_57_34 	NORMAL    	Executing verify
2016-09-29_13_57_34 	NORMAL    		实际测试结果：[]
2016-09-29_13_57_34 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_13_59_02 	NORMAL    	Executing precommand
2016-09-29_13_59_02 	NORMAL    	Executing steps
2016-09-29_13_59_02 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_13_59_04 	PASS      		Step pass.
2016-09-29_13_59_04 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_13_59_05 	PASS      		Step pass.
2016-09-29_13_59_05 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_13_59_05 	PASS      		Step pass.
2016-09-29_13_59_05 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_13_59_05 	PASS      		Step pass.
2016-09-29_13_59_05 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_13_59_05 	PASS      		Step pass.
2016-09-29_13_59_06 	NORMAL    	Executing postcommand
2016-09-29_13_59_06 	NORMAL    	Executing verify
2016-09-29_13_59_06 	NORMAL    		实际测试结果：[]
2016-09-29_13_59_06 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_00_10 	NORMAL    	Executing precommand
2016-09-29_14_00_10 	NORMAL    	Executing steps
2016-09-29_14_00_10 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_14_00_12 	PASS      		Step pass.
2016-09-29_14_00_12 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_14_00_13 	PASS      		Step pass.
2016-09-29_14_00_13 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_14_00_13 	PASS      		Step pass.
2016-09-29_14_00_13 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_14_00_13 	PASS      		Step pass.
2016-09-29_14_00_13 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_14_00_13 	PASS      		Step pass.
2016-09-29_14_00_13 	NORMAL    	Executing postcommand
2016-09-29_14_00_13 	NORMAL    	Executing verify
2016-09-29_14_00_13 	NORMAL    		实际测试结果：[]
2016-09-29_14_00_13 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_01_59 	NORMAL    	Executing precommand
2016-09-29_14_01_59 	NORMAL    	Executing steps
2016-09-29_14_01_59 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_14_02_01 	PASS      		Step pass.
2016-09-29_14_02_01 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_14_02_02 	PASS      		Step pass.
2016-09-29_14_02_02 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_14_02_02 	PASS      		Step pass.
2016-09-29_14_02_02 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_14_02_02 	PASS      		Step pass.
2016-09-29_14_02_02 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_14_02_02 	PASS      		Step pass.
2016-09-29_14_02_02 	NORMAL    	Executing postcommand
2016-09-29_14_02_02 	NORMAL    	Executing verify
2016-09-29_14_02_02 	NORMAL    		实际测试结果：[]
2016-09-29_14_02_02 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_07_37 	NORMAL    	Executing precommand
2016-09-29_14_07_37 	NORMAL    	Executing steps
2016-09-29_14_07_37 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_14_07_39 	PASS      		Step pass.
2016-09-29_14_07_39 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_14_07_40 	PASS      		Step pass.
2016-09-29_14_07_40 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_14_07_40 	PASS      		Step pass.
2016-09-29_14_07_40 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_14_07_40 	PASS      		Step pass.
2016-09-29_14_07_40 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_14_07_41 	PASS      		Step pass.
2016-09-29_14_07_41 	NORMAL    	Executing postcommand
2016-09-29_14_07_41 	NORMAL    	Executing verify
2016-09-29_14_07_41 	NORMAL    		实际测试结果：[]
2016-09-29_14_07_41 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_33_20 	NORMAL    	Executing precommand
2016-09-29_14_33_20 	NORMAL    	Executing steps
2016-09-29_14_33_20 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_14_33_22 	PASS      		Step pass.
2016-09-29_14_33_22 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_14_33_23 	PASS      		Step pass.
2016-09-29_14_33_23 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_14_33_23 	PASS      		Step pass.
2016-09-29_14_33_23 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_14_33_23 	PASS      		Step pass.
2016-09-29_14_33_23 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_14_33_24 	PASS      		Step pass.
2016-09-29_14_33_24 	NORMAL    	Executing postcommand
2016-09-29_14_33_24 	NORMAL    	Executing verify
2016-09-29_14_33_24 	NORMAL    		实际测试结果：[]
2016-09-29_14_33_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_34_26 	NORMAL    	Executing precommand
2016-09-29_14_34_26 	NORMAL    	Executing steps
2016-09-29_14_34_26 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_14_34_27 	PASS      		Step pass.
2016-09-29_14_34_27 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_14_34_27 	PASS      		Step pass.
2016-09-29_14_34_27 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_14_34_28 	PASS      		Step pass.
2016-09-29_14_34_28 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_14_34_28 	PASS      		Step pass.
2016-09-29_14_34_28 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_14_34_28 	PASS      		Step pass.
2016-09-29_14_34_28 	NORMAL    	Executing postcommand
2016-09-29_14_34_28 	NORMAL    	Executing verify
2016-09-29_14_34_28 	NORMAL    		实际测试结果：[]
2016-09-29_14_34_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_45_41 	NORMAL    	Executing precommand
2016-09-29_14_45_41 	NORMAL    	Executing steps
2016-09-29_14_45_41 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_14_45_43 	PASS      		Step pass.
2016-09-29_14_45_43 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_14_45_44 	PASS      		Step pass.
2016-09-29_14_45_44 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_14_45_45 	PASS      		Step pass.
2016-09-29_14_45_45 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_14_45_45 	PASS      		Step pass.
2016-09-29_14_45_45 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_14_45_45 	PASS      		Step pass.
2016-09-29_14_45_45 	NORMAL    	Executing postcommand
2016-09-29_14_45_45 	NORMAL    	Executing verify
2016-09-29_14_45_45 	NORMAL    		实际测试结果：[]
2016-09-29_14_45_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_47_58 	NORMAL    	Executing precommand
2016-09-29_14_47_58 	NORMAL    	Executing steps
2016-09-29_14_47_58 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_14_47_59 	PASS      		Step pass.
2016-09-29_14_47_59 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_14_48_00 	PASS      		Step pass.
2016-09-29_14_48_00 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_14_48_00 	PASS      		Step pass.
2016-09-29_14_48_00 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_14_48_00 	PASS      		Step pass.
2016-09-29_14_48_00 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_14_48_00 	PASS      		Step pass.
2016-09-29_14_48_00 	NORMAL    	Executing postcommand
2016-09-29_14_48_00 	NORMAL    	Executing verify
2016-09-29_14_48_00 	NORMAL    		实际测试结果：[]
2016-09-29_14_48_00 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_50_23 	NORMAL    	Executing precommand
2016-09-29_14_50_23 	NORMAL    	Executing steps
2016-09-29_14_50_23 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_14_50_25 	PASS      		Step pass.
2016-09-29_14_50_25 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_14_50_26 	PASS      		Step pass.
2016-09-29_14_50_26 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_14_50_26 	PASS      		Step pass.
2016-09-29_14_50_26 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_14_50_27 	PASS      		Step pass.
2016-09-29_14_50_27 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_14_50_27 	PASS      		Step pass.
2016-09-29_14_50_27 	NORMAL    	Executing postcommand
2016-09-29_14_50_27 	NORMAL    	Executing verify
2016-09-29_14_50_27 	NORMAL    		实际测试结果：[]
