
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_31_07 	NORMAL    	Executing precommand
2016-09-13_16_31_07 	NORMAL    	Executing steps
2016-09-13_16_31_07 	NORMAL    	Executing postcommand
2016-09-13_16_31_07 	NORMAL    	Executing verify
2016-09-13_16_31_07 	NORMAL    		实际测试结果：[]
2016-09-13_16_31_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_36_50 	NORMAL    	Executing precommand
2016-09-13_16_36_50 	NORMAL    	Executing steps
2016-09-13_16_36_50 	NORMAL    	Executing postcommand
2016-09-13_16_36_50 	NORMAL    	Executing verify
2016-09-13_16_36_50 	NORMAL    		实际测试结果：[]
2016-09-13_16_36_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_36_55 	NORMAL    	Executing precommand
2016-09-13_16_36_55 	NORMAL    	Executing steps
2016-09-13_16_36_55 	NORMAL    	Executing postcommand
2016-09-13_16_36_55 	NORMAL    	Executing verify
2016-09-13_16_36_55 	NORMAL    		实际测试结果：[]
2016-09-13_16_36_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_18_01_23 	NORMAL    	Executing precommand
2016-09-13_18_01_23 	NORMAL    	Executing steps
2016-09-13_18_01_23 	NORMAL    	Executing postcommand
2016-09-13_18_01_23 	NORMAL    	Executing verify
2016-09-13_18_01_23 	NORMAL    		实际测试结果：[]
2016-09-13_18_01_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_19_45_02 	NORMAL    	Executing precommand
2016-09-13_19_45_02 	NORMAL    	Executing steps
2016-09-13_19_45_02 	NORMAL    	Executing postcommand
2016-09-13_19_45_02 	NORMAL    	Executing verify
2016-09-13_19_45_02 	NORMAL    		实际测试结果：[]
2016-09-13_19_45_02 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_06_25 	NORMAL    	Executing precommand
2016-09-13_20_06_25 	NORMAL    	Executing steps
2016-09-13_20_06_25 	NORMAL    	Executing postcommand
2016-09-13_20_06_25 	NORMAL    	Executing verify
2016-09-13_20_06_25 	NORMAL    		实际测试结果：[]
2016-09-13_20_06_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_06_33 	NORMAL    	Executing precommand
2016-09-13_20_06_33 	NORMAL    	Executing steps
2016-09-13_20_06_33 	NORMAL    	Executing postcommand
2016-09-13_20_06_33 	NORMAL    	Executing verify
2016-09-13_20_06_33 	NORMAL    		实际测试结果：[]
2016-09-13_20_06_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_07_11 	NORMAL    	Executing precommand
2016-09-13_20_07_11 	NORMAL    	Executing steps
2016-09-13_20_07_11 	NORMAL    	Executing postcommand
2016-09-13_20_07_11 	NORMAL    	Executing verify
2016-09-13_20_07_11 	NORMAL    		实际测试结果：[]
2016-09-13_20_07_11 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_07_52 	NORMAL    	Executing precommand
2016-09-13_20_07_52 	NORMAL    	Executing steps
2016-09-13_20_07_52 	NORMAL    	Executing postcommand
2016-09-13_20_07_52 	NORMAL    	Executing verify
2016-09-13_20_07_52 	NORMAL    		实际测试结果：[]
2016-09-13_20_07_52 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_08_03 	NORMAL    	Executing precommand
2016-09-13_20_08_04 	NORMAL    	Executing steps
2016-09-13_20_08_04 	NORMAL    	Executing postcommand
2016-09-13_20_08_04 	NORMAL    	Executing verify
2016-09-13_20_08_04 	NORMAL    		实际测试结果：[]
2016-09-13_20_08_04 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_08_52 	NORMAL    	Executing precommand
2016-09-13_20_08_52 	NORMAL    	Executing steps
2016-09-13_20_08_52 	NORMAL    	Executing postcommand
2016-09-13_20_08_52 	NORMAL    	Executing verify
2016-09-13_20_08_52 	NORMAL    		实际测试结果：[]
2016-09-13_20_08_52 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_10_24 	NORMAL    	Executing precommand
2016-09-13_20_10_24 	NORMAL    	Executing steps
2016-09-13_20_10_24 	NORMAL    	Executing postcommand
2016-09-13_20_10_24 	NORMAL    	Executing verify
2016-09-13_20_10_24 	NORMAL    		实际测试结果：[]
2016-09-13_20_10_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_10_32 	NORMAL    	Executing precommand
2016-09-13_20_10_32 	NORMAL    	Executing steps
2016-09-13_20_10_32 	NORMAL    	Executing postcommand
2016-09-13_20_10_32 	NORMAL    	Executing verify
2016-09-13_20_10_32 	NORMAL    		实际测试结果：[]
2016-09-13_20_10_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_10_38 	NORMAL    	Executing precommand
2016-09-13_20_10_38 	NORMAL    	Executing steps
2016-09-13_20_10_38 	NORMAL    	Executing postcommand
2016-09-13_20_10_38 	NORMAL    	Executing verify
2016-09-13_20_10_38 	NORMAL    		实际测试结果：[]
2016-09-13_20_10_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_10_44 	NORMAL    	Executing precommand
2016-09-13_20_10_44 	NORMAL    	Executing steps
2016-09-13_20_10_44 	NORMAL    	Executing postcommand
2016-09-13_20_10_44 	NORMAL    	Executing verify
2016-09-13_20_10_44 	NORMAL    		实际测试结果：[]
2016-09-13_20_10_44 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_15_55 	NORMAL    	Executing precommand
2016-09-13_20_15_55 	NORMAL    	Executing steps
2016-09-13_20_15_55 	NORMAL    	Executing postcommand
2016-09-13_20_15_55 	NORMAL    	Executing verify
2016-09-13_20_15_55 	NORMAL    		实际测试结果：[]
2016-09-13_20_15_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_16_55 	NORMAL    	Executing precommand
2016-09-13_20_16_55 	NORMAL    	Executing steps
2016-09-13_20_16_55 	NORMAL    	Executing postcommand
2016-09-13_20_16_55 	NORMAL    	Executing verify
2016-09-13_20_16_55 	NORMAL    		实际测试结果：[]
2016-09-13_20_16_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_16_58 	NORMAL    	Executing precommand
2016-09-13_20_16_58 	NORMAL    	Executing steps
2016-09-13_20_16_58 	NORMAL    	Executing postcommand
2016-09-13_20_16_58 	NORMAL    	Executing verify
2016-09-13_20_16_58 	NORMAL    		实际测试结果：[]
2016-09-13_20_16_58 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_17_11 	NORMAL    	Executing precommand
2016-09-13_20_17_11 	NORMAL    	Executing steps
2016-09-13_20_17_11 	NORMAL    	Executing postcommand
2016-09-13_20_17_11 	NORMAL    	Executing verify
2016-09-13_20_17_11 	NORMAL    		实际测试结果：[]
2016-09-13_20_17_11 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_27_21 	NORMAL    	Executing precommand
2016-09-13_20_27_21 	NORMAL    	Executing steps
2016-09-13_20_27_21 	NORMAL    	Executing postcommand
2016-09-13_20_27_21 	NORMAL    	Executing verify
2016-09-13_20_27_21 	NORMAL    		实际测试结果：[]
2016-09-13_20_27_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_32_45 	NORMAL    	Executing precommand
2016-09-13_20_32_45 	NORMAL    	Executing steps
2016-09-13_20_32_45 	NORMAL    	Executing postcommand
2016-09-13_20_32_45 	NORMAL    	Executing verify
2016-09-13_20_32_45 	NORMAL    		实际测试结果：[]
2016-09-13_20_32_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_33_22 	NORMAL    	Executing precommand
2016-09-13_20_33_22 	NORMAL    	Executing steps
2016-09-13_20_33_22 	NORMAL    	Executing postcommand
2016-09-13_20_33_22 	NORMAL    	Executing verify
2016-09-13_20_33_22 	NORMAL    		实际测试结果：[]
2016-09-13_20_33_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_34_55 	NORMAL    	Executing precommand
2016-09-13_20_34_55 	NORMAL    	Executing steps
2016-09-13_20_34_55 	NORMAL    	Executing postcommand
2016-09-13_20_34_55 	NORMAL    	Executing verify
2016-09-13_20_34_55 	NORMAL    		实际测试结果：[]
2016-09-13_20_34_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_35_51 	NORMAL    	Executing precommand
2016-09-13_20_35_51 	NORMAL    	Executing steps
2016-09-13_20_35_51 	NORMAL    	Executing postcommand
2016-09-13_20_35_51 	NORMAL    	Executing verify
2016-09-13_20_35_51 	NORMAL    		实际测试结果：[]
2016-09-13_20_35_51 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_37_28 	NORMAL    	Executing precommand
2016-09-13_20_37_28 	NORMAL    	Executing steps
2016-09-13_20_37_28 	NORMAL    	Executing postcommand
2016-09-13_20_37_28 	NORMAL    	Executing verify
2016-09-13_20_37_28 	NORMAL    		实际测试结果：[]
2016-09-13_20_37_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_39_17 	NORMAL    	Executing precommand
2016-09-13_20_39_17 	NORMAL    	Executing steps
2016-09-13_20_39_17 	NORMAL    	Executing postcommand
2016-09-13_20_39_17 	NORMAL    	Executing verify
2016-09-13_20_39_17 	NORMAL    		实际测试结果：[]
2016-09-13_20_39_17 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_43_56 	NORMAL    	Executing precommand
2016-09-13_20_43_56 	NORMAL    	Executing steps
2016-09-13_20_43_56 	NORMAL    	Executing postcommand
2016-09-13_20_43_56 	NORMAL    	Executing verify
2016-09-13_20_43_56 	NORMAL    		实际测试结果：[]
2016-09-13_20_43_56 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_54_38 	NORMAL    	Executing precommand
2016-09-13_20_54_38 	NORMAL    	Executing steps
2016-09-13_20_54_38 	NORMAL    	Executing postcommand
2016-09-13_20_54_38 	NORMAL    	Executing verify
2016-09-13_20_54_38 	NORMAL    		实际测试结果：[]
2016-09-13_20_54_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_56_05 	NORMAL    	Executing precommand
2016-09-13_20_56_05 	NORMAL    	Executing steps
2016-09-13_20_56_05 	NORMAL    	Executing postcommand
2016-09-13_20_56_05 	NORMAL    	Executing verify
2016-09-13_20_56_05 	NORMAL    		实际测试结果：[]
2016-09-13_20_56_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_20_57_25 	NORMAL    	Executing precommand
2016-09-13_20_57_25 	NORMAL    	Executing steps
2016-09-13_20_57_25 	NORMAL    	Executing postcommand
2016-09-13_20_57_25 	NORMAL    	Executing verify
2016-09-13_20_57_25 	NORMAL    		实际测试结果：[]
2016-09-13_20_57_25 	PASS      		Verify complete.[前置操作]
