
**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_09_07 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_10_01 	NORMAL    	Executing precommand
2016-09-29_16_10_01 	NORMAL    	Executing steps
2016-09-29_16_10_01 	NORMAL    	Executing postcommand
2016-09-29_16_10_01 	NORMAL    	Executing verify
2016-09-29_16_10_01 	NORMAL    		实际测试结果：[]
2016-09-29_16_10_01 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_10_29 	NORMAL    	Executing precommand
2016-09-29_16_10_29 	NORMAL    	Executing steps
2016-09-29_16_10_29 	NORMAL    	Executing postcommand
2016-09-29_16_10_29 	NORMAL    	Executing verify
2016-09-29_16_10_29 	NORMAL    		实际测试结果：[]
2016-09-29_16_10_29 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_12_53 	NORMAL    	Executing precommand
2016-09-29_16_12_53 	NORMAL    	Executing steps
2016-09-29_16_12_53 	NORMAL    	Executing postcommand
2016-09-29_16_12_53 	NORMAL    	Executing verify
2016-09-29_16_12_53 	NORMAL    		实际测试结果：[]
2016-09-29_16_12_53 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_14_56 	NORMAL    	Executing precommand
2016-09-29_16_14_56 	NORMAL    	Executing steps
2016-09-29_16_14_56 	NORMAL    	Executing postcommand
2016-09-29_16_14_56 	NORMAL    	Executing verify
2016-09-29_16_14_56 	NORMAL    		实际测试结果：[]
2016-09-29_16_14_56 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_16_03 	NORMAL    	Executing precommand
2016-09-29_16_16_03 	NORMAL    	Executing steps
2016-09-29_16_16_03 	NORMAL    	Executing postcommand
2016-09-29_16_16_03 	NORMAL    	Executing verify
2016-09-29_16_16_03 	NORMAL    		实际测试结果：[]
2016-09-29_16_16_03 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_18_24 	NORMAL    	Executing precommand
2016-09-29_16_18_24 	NORMAL    	Executing steps
2016-09-29_16_18_24 	NORMAL    	Executing postcommand
2016-09-29_16_18_24 	NORMAL    	Executing verify
2016-09-29_16_18_24 	NORMAL    		实际测试结果：[]
2016-09-29_16_18_24 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_19_05 	NORMAL    	Executing precommand
2016-09-29_16_19_05 	NORMAL    	Executing steps
2016-09-29_16_19_05 	NORMAL    	Executing postcommand
2016-09-29_16_19_05 	NORMAL    	Executing verify
2016-09-29_16_19_05 	NORMAL    		实际测试结果：[]
2016-09-29_16_19_05 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_20_19 	NORMAL    	Executing precommand
2016-09-29_16_20_19 	NORMAL    	Executing steps
2016-09-29_16_20_19 	NORMAL    	Executing postcommand
2016-09-29_16_20_19 	NORMAL    	Executing verify
2016-09-29_16_20_19 	NORMAL    		实际测试结果：[]
2016-09-29_16_20_19 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_21_49 	NORMAL    	Executing precommand
2016-09-29_16_21_49 	NORMAL    	Executing steps
2016-09-29_16_21_49 	NORMAL    	Executing postcommand
2016-09-29_16_21_49 	NORMAL    	Executing verify
2016-09-29_16_21_49 	NORMAL    		实际测试结果：[]
2016-09-29_16_21_49 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_23_00 	NORMAL    	Executing precommand
2016-09-29_16_23_00 	NORMAL    	Executing steps
2016-09-29_16_23_00 	NORMAL    	Executing postcommand
2016-09-29_16_23_00 	NORMAL    	Executing verify
2016-09-29_16_23_00 	NORMAL    		实际测试结果：[]
2016-09-29_16_23_00 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_23_52 	NORMAL    	Executing precommand
2016-09-29_16_23_52 	NORMAL    	Executing steps
2016-09-29_16_23_52 	NORMAL    	Executing postcommand
2016-09-29_16_23_52 	NORMAL    	Executing verify
2016-09-29_16_23_52 	NORMAL    		实际测试结果：[]
2016-09-29_16_23_52 	PASS      		Verify complete.[Start example test.]
