
**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_57_35 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_57_35 	PASS      		Step pass.
2016-09-29_14_57_35 	NORMAL    	Executing postcommand
2016-09-29_14_57_35 	NORMAL    	Executing verify
2016-09-29_14_57_35 	NORMAL    		实际测试结果：[]
2016-09-29_14_57_35 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_58_36 	NORMAL    	Executing precommand
2016-09-29_14_58_36 	NORMAL    	Executing steps
2016-09-29_14_58_36 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_58_36 	PASS      		Step pass.
2016-09-29_14_58_36 	NORMAL    	Executing postcommand
2016-09-29_14_58_36 	NORMAL    	Executing verify
2016-09-29_14_58_36 	NORMAL    		实际测试结果：[]
2016-09-29_14_58_36 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_59_45 	NORMAL    	Executing precommand
2016-09-29_14_59_45 	NORMAL    	Executing steps
2016-09-29_14_59_45 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_59_45 	PASS      		Step pass.
2016-09-29_14_59_45 	NORMAL    	Executing postcommand
2016-09-29_14_59_45 	NORMAL    	Executing verify
2016-09-29_14_59_45 	NORMAL    		实际测试结果：[]
2016-09-29_14_59_45 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_15_01_29 	NORMAL    	Executing precommand
2016-09-29_15_01_29 	NORMAL    	Executing steps
2016-09-29_15_01_29 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_01_30 	PASS      		Step pass.
2016-09-29_15_01_30 	NORMAL    	Executing postcommand
2016-09-29_15_01_30 	NORMAL    	Executing verify
2016-09-29_15_01_30 	NORMAL    		实际测试结果：[]
2016-09-29_15_01_30 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_15_02_02 	NORMAL    	Executing precommand
2016-09-29_15_02_02 	NORMAL    	Executing steps
2016-09-29_15_02_02 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_02_02 	PASS      		Step pass.
2016-09-29_15_02_02 	NORMAL    	Executing postcommand
2016-09-29_15_02_02 	NORMAL    	Executing verify
2016-09-29_15_02_02 	NORMAL    		实际测试结果：[]
2016-09-29_15_02_02 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_15_02_48 	NORMAL    	Executing precommand
2016-09-29_15_02_48 	NORMAL    	Executing steps
2016-09-29_15_02_48 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_02_48 	PASS      		Step pass.
2016-09-29_15_02_48 	NORMAL    	Executing postcommand
2016-09-29_15_02_48 	NORMAL    	Executing verify
2016-09-29_15_02_48 	NORMAL    		实际测试结果：[]
2016-09-29_15_02_48 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_15_03_06 	NORMAL    	Executing precommand
2016-09-29_15_03_06 	NORMAL    	Executing steps
2016-09-29_15_03_06 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_03_07 	PASS      		Step pass.
2016-09-29_15_03_07 	NORMAL    	Executing postcommand
2016-09-29_15_03_07 	NORMAL    	Executing verify
2016-09-29_15_03_07 	NORMAL    		实际测试结果：[]
2016-09-29_15_03_07 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_15_04_18 	NORMAL    	Executing precommand
2016-09-29_15_04_18 	NORMAL    	Executing steps
2016-09-29_15_04_18 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_04_19 	PASS      		Step pass.
2016-09-29_15_04_19 	NORMAL    	Executing postcommand
2016-09-29_15_04_19 	NORMAL    	Executing verify
2016-09-29_15_04_19 	NORMAL    		实际测试结果：[]
2016-09-29_15_04_19 	PASS      		Verify complete.[Start example test.]
