
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_12_04 	NORMAL    		实际测试结果：[]
2016-09-20_10_12_04 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_12_12 	NORMAL    	Executing precommand
2016-09-20_10_12_12 	NORMAL    	Executing steps
2016-09-20_10_12_12 	NORMAL    	Executing postcommand
2016-09-20_10_12_12 	NORMAL    	Executing verify
2016-09-20_10_12_12 	NORMAL    		实际测试结果：[]
2016-09-20_10_12_12 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_12_20 	NORMAL    	Executing precommand
2016-09-20_10_12_20 	NORMAL    	Executing steps
2016-09-20_10_12_20 	NORMAL    	Executing postcommand
2016-09-20_10_12_20 	NORMAL    	Executing verify
2016-09-20_10_12_20 	NORMAL    		实际测试结果：[]
2016-09-20_10_12_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_13_18 	NORMAL    	Executing precommand
2016-09-20_10_13_18 	NORMAL    	Executing steps
2016-09-20_10_13_18 	NORMAL    	Executing postcommand
2016-09-20_10_13_18 	NORMAL    	Executing verify
2016-09-20_10_13_18 	NORMAL    		实际测试结果：[]
2016-09-20_10_13_18 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_13_25 	NORMAL    	Executing precommand
2016-09-20_10_13_25 	NORMAL    	Executing steps
2016-09-20_10_13_25 	NORMAL    	Executing postcommand
2016-09-20_10_13_25 	NORMAL    	Executing verify
2016-09-20_10_13_25 	NORMAL    		实际测试结果：[]
2016-09-20_10_13_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_13_35 	NORMAL    	Executing precommand
2016-09-20_10_13_35 	NORMAL    	Executing steps
2016-09-20_10_13_35 	NORMAL    	Executing postcommand
2016-09-20_10_13_35 	NORMAL    	Executing verify
2016-09-20_10_13_35 	NORMAL    		实际测试结果：[]
2016-09-20_10_13_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_14_10 	NORMAL    	Executing precommand
2016-09-20_10_14_10 	NORMAL    	Executing steps
2016-09-20_10_14_10 	NORMAL    	Executing postcommand
2016-09-20_10_14_10 	NORMAL    	Executing verify
2016-09-20_10_14_10 	NORMAL    		实际测试结果：[]
2016-09-20_10_14_10 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_14_14 	NORMAL    	Executing precommand
2016-09-20_10_14_14 	NORMAL    	Executing steps
2016-09-20_10_14_14 	NORMAL    	Executing postcommand
2016-09-20_10_14_14 	NORMAL    	Executing verify
2016-09-20_10_14_14 	NORMAL    		实际测试结果：[]
2016-09-20_10_14_14 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_14_21 	NORMAL    	Executing precommand
2016-09-20_10_14_21 	NORMAL    	Executing steps
2016-09-20_10_14_21 	NORMAL    	Executing postcommand
2016-09-20_10_14_21 	NORMAL    	Executing verify
2016-09-20_10_14_21 	NORMAL    		实际测试结果：[]
2016-09-20_10_14_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_14_28 	NORMAL    	Executing precommand
2016-09-20_10_14_28 	NORMAL    	Executing steps
2016-09-20_10_14_28 	NORMAL    	Executing postcommand
2016-09-20_10_14_28 	NORMAL    	Executing verify
2016-09-20_10_14_28 	NORMAL    		实际测试结果：[]
2016-09-20_10_14_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_14_44 	NORMAL    	Executing precommand
2016-09-20_10_14_44 	NORMAL    	Executing steps
2016-09-20_10_14_44 	NORMAL    	Executing postcommand
2016-09-20_10_14_44 	NORMAL    	Executing verify
2016-09-20_10_14_44 	NORMAL    		实际测试结果：[]
2016-09-20_10_14_44 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_16_30 	NORMAL    	Executing precommand
2016-09-20_10_16_30 	NORMAL    	Executing steps
2016-09-20_10_16_30 	NORMAL    	Executing postcommand
2016-09-20_10_16_30 	NORMAL    	Executing verify
2016-09-20_10_16_30 	NORMAL    		实际测试结果：[]
2016-09-20_10_16_30 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_16_53 	NORMAL    	Executing precommand
2016-09-20_10_16_53 	NORMAL    	Executing steps
2016-09-20_10_16_53 	NORMAL    	Executing postcommand
2016-09-20_10_16_53 	NORMAL    	Executing verify
2016-09-20_10_16_53 	NORMAL    		实际测试结果：[]
2016-09-20_10_16_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_17_07 	NORMAL    	Executing precommand
2016-09-20_10_17_07 	NORMAL    	Executing steps
2016-09-20_10_17_07 	NORMAL    	Executing postcommand
2016-09-20_10_17_07 	NORMAL    	Executing verify
2016-09-20_10_17_07 	NORMAL    		实际测试结果：[]
2016-09-20_10_17_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_17_45 	NORMAL    	Executing precommand
2016-09-20_10_17_45 	NORMAL    	Executing steps
2016-09-20_10_17_45 	NORMAL    	Executing postcommand
2016-09-20_10_17_45 	NORMAL    	Executing verify
2016-09-20_10_17_45 	NORMAL    		实际测试结果：[]
2016-09-20_10_17_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_18_08 	NORMAL    	Executing precommand
2016-09-20_10_18_08 	NORMAL    	Executing steps
2016-09-20_10_18_08 	NORMAL    	Executing postcommand
2016-09-20_10_18_08 	NORMAL    	Executing verify
2016-09-20_10_18_08 	NORMAL    		实际测试结果：[]
2016-09-20_10_18_08 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_18_30 	NORMAL    	Executing precommand
2016-09-20_10_18_30 	NORMAL    	Executing steps
2016-09-20_10_18_30 	NORMAL    	Executing postcommand
2016-09-20_10_18_30 	NORMAL    	Executing verify
2016-09-20_10_18_30 	NORMAL    		实际测试结果：[]
2016-09-20_10_18_30 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_18_38 	NORMAL    	Executing precommand
2016-09-20_10_18_38 	NORMAL    	Executing steps
2016-09-20_10_18_38 	NORMAL    	Executing postcommand
2016-09-20_10_18_38 	NORMAL    	Executing verify
2016-09-20_10_18_38 	NORMAL    		实际测试结果：[]
2016-09-20_10_18_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_20_46 	NORMAL    	Executing precommand
2016-09-20_10_20_46 	NORMAL    	Executing steps
2016-09-20_10_20_46 	NORMAL    	Executing postcommand
2016-09-20_10_20_46 	NORMAL    	Executing verify
2016-09-20_10_20_46 	NORMAL    		实际测试结果：[]
2016-09-20_10_20_46 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_20_55 	NORMAL    	Executing precommand
2016-09-20_10_20_55 	NORMAL    	Executing steps
2016-09-20_10_20_55 	NORMAL    	Executing postcommand
2016-09-20_10_20_55 	NORMAL    	Executing verify
2016-09-20_10_20_55 	NORMAL    		实际测试结果：[]
2016-09-20_10_20_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_21_35 	NORMAL    	Executing precommand
2016-09-20_10_21_35 	NORMAL    	Executing steps
2016-09-20_10_21_35 	NORMAL    	Executing postcommand
2016-09-20_10_21_35 	NORMAL    	Executing verify
2016-09-20_10_21_35 	NORMAL    		实际测试结果：[]
2016-09-20_10_21_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_22_23 	NORMAL    	Executing precommand
2016-09-20_10_22_23 	NORMAL    	Executing steps
2016-09-20_10_22_23 	NORMAL    	Executing postcommand
2016-09-20_10_22_23 	NORMAL    	Executing verify
2016-09-20_10_22_23 	NORMAL    		实际测试结果：[]
2016-09-20_10_22_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_24_00 	NORMAL    	Executing precommand
2016-09-20_10_24_00 	NORMAL    	Executing steps
2016-09-20_10_24_00 	NORMAL    	Executing postcommand
2016-09-20_10_24_00 	NORMAL    	Executing verify
2016-09-20_10_24_00 	NORMAL    		实际测试结果：[]
2016-09-20_10_24_00 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_24_06 	NORMAL    	Executing precommand
2016-09-20_10_24_06 	NORMAL    	Executing steps
2016-09-20_10_24_06 	NORMAL    	Executing postcommand
2016-09-20_10_24_06 	NORMAL    	Executing verify
2016-09-20_10_24_06 	NORMAL    		实际测试结果：[]
2016-09-20_10_24_06 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_24_41 	NORMAL    	Executing precommand
2016-09-20_10_24_41 	NORMAL    	Executing steps
2016-09-20_10_24_41 	NORMAL    	Executing postcommand
2016-09-20_10_24_41 	NORMAL    	Executing verify
2016-09-20_10_24_41 	NORMAL    		实际测试结果：[]
2016-09-20_10_24_41 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_25_11 	NORMAL    	Executing precommand
2016-09-20_10_25_11 	NORMAL    	Executing steps
2016-09-20_10_25_11 	NORMAL    	Executing postcommand
2016-09-20_10_25_11 	NORMAL    	Executing verify
2016-09-20_10_25_11 	NORMAL    		实际测试结果：[]
2016-09-20_10_25_11 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_25_28 	NORMAL    	Executing precommand
2016-09-20_10_25_28 	NORMAL    	Executing steps
2016-09-20_10_25_28 	NORMAL    	Executing postcommand
2016-09-20_10_25_28 	NORMAL    	Executing verify
2016-09-20_10_25_28 	NORMAL    		实际测试结果：[]
2016-09-20_10_25_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_39_40 	NORMAL    	Executing precommand
2016-09-20_10_39_40 	NORMAL    	Executing steps
2016-09-20_10_39_40 	NORMAL    	Executing postcommand
2016-09-20_10_39_40 	NORMAL    	Executing verify
2016-09-20_10_39_40 	NORMAL    		实际测试结果：[]
2016-09-20_10_39_40 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_39_51 	NORMAL    	Executing precommand
2016-09-20_10_39_51 	NORMAL    	Executing steps
2016-09-20_10_39_51 	NORMAL    	Executing postcommand
2016-09-20_10_39_51 	NORMAL    	Executing verify
2016-09-20_10_39_51 	NORMAL    		实际测试结果：[]
2016-09-20_10_39_51 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_40_13 	NORMAL    	Executing precommand
2016-09-20_10_40_13 	NORMAL    	Executing steps
2016-09-20_10_40_13 	NORMAL    	Executing postcommand
2016-09-20_10_40_13 	NORMAL    	Executing verify
2016-09-20_10_40_13 	NORMAL    		实际测试结果：[]
2016-09-20_10_40_13 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_40_54 	NORMAL    	Executing precommand
2016-09-20_10_40_54 	NORMAL    	Executing steps
2016-09-20_10_40_54 	NORMAL    	Executing postcommand
2016-09-20_10_40_54 	NORMAL    	Executing verify
2016-09-20_10_40_54 	NORMAL    		实际测试结果：[]
2016-09-20_10_40_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_42_19 	NORMAL    	Executing precommand
2016-09-20_10_42_19 	NORMAL    	Executing steps
2016-09-20_10_42_19 	NORMAL    	Executing postcommand
2016-09-20_10_42_19 	NORMAL    	Executing verify
2016-09-20_10_42_19 	NORMAL    		实际测试结果：[]
2016-09-20_10_42_19 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_43_09 	NORMAL    	Executing precommand
2016-09-20_10_43_09 	NORMAL    	Executing steps
2016-09-20_10_43_09 	NORMAL    	Executing postcommand
2016-09-20_10_43_09 	NORMAL    	Executing verify
2016-09-20_10_43_09 	NORMAL    		实际测试结果：[]
2016-09-20_10_43_09 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_43_19 	NORMAL    	Executing precommand
2016-09-20_10_43_19 	NORMAL    	Executing steps
2016-09-20_10_43_19 	NORMAL    	Executing postcommand
2016-09-20_10_43_19 	NORMAL    	Executing verify
2016-09-20_10_43_19 	NORMAL    		实际测试结果：[]
2016-09-20_10_43_19 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_43_30 	NORMAL    	Executing precommand
2016-09-20_10_43_30 	NORMAL    	Executing steps
2016-09-20_10_43_30 	NORMAL    	Executing postcommand
2016-09-20_10_43_30 	NORMAL    	Executing verify
2016-09-20_10_43_30 	NORMAL    		实际测试结果：[]
2016-09-20_10_43_30 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_43_37 	NORMAL    	Executing precommand
2016-09-20_10_43_37 	NORMAL    	Executing steps
2016-09-20_10_43_37 	NORMAL    	Executing postcommand
2016-09-20_10_43_37 	NORMAL    	Executing verify
2016-09-20_10_43_37 	NORMAL    		实际测试结果：[]
2016-09-20_10_43_37 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_43_47 	NORMAL    	Executing precommand
2016-09-20_10_43_47 	NORMAL    	Executing steps
2016-09-20_10_43_47 	NORMAL    	Executing postcommand
2016-09-20_10_43_47 	NORMAL    	Executing verify
2016-09-20_10_43_47 	NORMAL    		实际测试结果：[]
2016-09-20_10_43_47 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_44_09 	NORMAL    	Executing precommand
2016-09-20_10_44_09 	NORMAL    	Executing steps
2016-09-20_10_44_09 	NORMAL    	Executing postcommand
2016-09-20_10_44_09 	NORMAL    	Executing verify
2016-09-20_10_44_09 	NORMAL    		实际测试结果：[]
2016-09-20_10_44_09 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_44_19 	NORMAL    	Executing precommand
2016-09-20_10_44_19 	NORMAL    	Executing steps
2016-09-20_10_44_19 	NORMAL    	Executing postcommand
2016-09-20_10_44_19 	NORMAL    	Executing verify
2016-09-20_10_44_19 	NORMAL    		实际测试结果：[]
2016-09-20_10_44_19 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_46_11 	NORMAL    	Executing precommand
2016-09-20_10_46_11 	NORMAL    	Executing steps
2016-09-20_10_46_11 	NORMAL    	Executing postcommand
2016-09-20_10_46_11 	NORMAL    	Executing verify
2016-09-20_10_46_11 	NORMAL    		实际测试结果：[]
2016-09-20_10_46_11 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_46_28 	NORMAL    	Executing precommand
2016-09-20_10_46_28 	NORMAL    	Executing steps
2016-09-20_10_46_28 	NORMAL    	Executing postcommand
2016-09-20_10_46_28 	NORMAL    	Executing verify
2016-09-20_10_46_28 	NORMAL    		实际测试结果：[]
2016-09-20_10_46_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_46_45 	NORMAL    	Executing precommand
2016-09-20_10_46_45 	NORMAL    	Executing steps
2016-09-20_10_46_45 	NORMAL    	Executing postcommand
2016-09-20_10_46_45 	NORMAL    	Executing verify
2016-09-20_10_46_45 	NORMAL    		实际测试结果：[]
2016-09-20_10_46_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_47_10 	NORMAL    	Executing precommand
2016-09-20_10_47_10 	NORMAL    	Executing steps
2016-09-20_10_47_10 	NORMAL    	Executing postcommand
2016-09-20_10_47_10 	NORMAL    	Executing verify
2016-09-20_10_47_10 	NORMAL    		实际测试结果：[]
2016-09-20_10_47_10 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_13_45_22 	NORMAL    	Executing precommand
2016-09-20_13_45_22 	NORMAL    	Executing steps
2016-09-20_13_45_22 	NORMAL    	Executing postcommand
2016-09-20_13_45_22 	NORMAL    	Executing verify
2016-09-20_13_45_22 	NORMAL    		实际测试结果：[]
2016-09-20_13_45_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_13_45_32 	NORMAL    	Executing precommand
2016-09-20_13_45_32 	NORMAL    	Executing steps
2016-09-20_13_45_32 	NORMAL    	Executing postcommand
2016-09-20_13_45_32 	NORMAL    	Executing verify
2016-09-20_13_45_32 	NORMAL    		实际测试结果：[]
2016-09-20_13_45_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_13_47_33 	NORMAL    	Executing precommand
2016-09-20_13_47_33 	NORMAL    	Executing steps
2016-09-20_13_47_33 	NORMAL    	Executing postcommand
2016-09-20_13_47_33 	NORMAL    	Executing verify
2016-09-20_13_47_33 	NORMAL    		实际测试结果：[]
2016-09-20_13_47_33 	PASS      		Verify complete.[前置操作]
