
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_16_48_10 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_16_48_10 	PASS      		Step pass.
2016-09-05_16_48_10 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_16_48_10 	PASS      		Step pass.
2016-09-05_16_48_10 	NORMAL    	Executing postcommand
2016-09-05_16_48_10 	NORMAL    	Executing verify
2016-09-05_16_48_10 	NORMAL    		实际测试结果：[]
2016-09-05_16_48_10 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_16_54_30 	NORMAL    	Executing precommand
2016-09-05_16_54_30 	NORMAL    	Executing steps
2016-09-05_16_54_30 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_16_54_32 	PASS      		Step pass.
2016-09-05_16_54_32 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_16_54_32 	PASS      		Step pass.
2016-09-05_16_54_32 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_16_54_33 	PASS      		Step pass.
2016-09-05_16_54_33 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_16_54_33 	PASS      		Step pass.
2016-09-05_16_54_33 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_16_54_33 	PASS      		Step pass.
2016-09-05_16_54_33 	NORMAL    	Executing postcommand
2016-09-05_16_54_33 	NORMAL    	Executing verify
2016-09-05_16_54_33 	NORMAL    		实际测试结果：[]
2016-09-05_16_54_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_16_58_41 	NORMAL    	Executing precommand
2016-09-05_16_58_41 	NORMAL    	Executing steps
2016-09-05_16_58_41 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_16_58_42 	PASS      		Step pass.
2016-09-05_16_58_42 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_16_58_43 	PASS      		Step pass.
2016-09-05_16_58_43 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_16_58_43 	PASS      		Step pass.
2016-09-05_16_58_43 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_16_58_43 	PASS      		Step pass.
2016-09-05_16_58_43 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_16_58_43 	PASS      		Step pass.
2016-09-05_16_58_43 	NORMAL    	Executing postcommand
2016-09-05_16_58_43 	NORMAL    	Executing verify
2016-09-05_16_58_43 	NORMAL    		实际测试结果：[]
2016-09-05_16_58_43 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_17_00_33 	NORMAL    	Executing precommand
2016-09-05_17_00_33 	NORMAL    	Executing steps
2016-09-05_17_00_33 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_17_00_35 	PASS      		Step pass.
2016-09-05_17_00_35 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_17_00_36 	PASS      		Step pass.
2016-09-05_17_00_36 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_17_00_37 	PASS      		Step pass.
2016-09-05_17_00_37 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_17_00_37 	PASS      		Step pass.
2016-09-05_17_00_37 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_17_00_37 	PASS      		Step pass.
2016-09-05_17_00_37 	NORMAL    	Executing postcommand
2016-09-05_17_00_37 	NORMAL    	Executing verify
2016-09-05_17_00_37 	NORMAL    		实际测试结果：[]
2016-09-05_17_00_37 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_17_55_09 	NORMAL    	Executing precommand
2016-09-05_17_55_09 	NORMAL    	Executing steps
2016-09-05_17_55_09 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_17_55_11 	PASS      		Step pass.
2016-09-05_17_55_11 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_17_55_12 	PASS      		Step pass.
2016-09-05_17_55_12 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_17_55_12 	PASS      		Step pass.
2016-09-05_17_55_12 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_17_55_12 	PASS      		Step pass.
2016-09-05_17_55_12 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_17_55_12 	PASS      		Step pass.
2016-09-05_17_55_12 	NORMAL    	Executing postcommand
2016-09-05_17_55_12 	NORMAL    	Executing verify
2016-09-05_17_55_12 	NORMAL    		实际测试结果：[]
2016-09-05_17_55_12 	PASS      		Verify complete.[前置操作]
