
**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_12_58 	PASS      		Step pass.
2016-09-29_16_12_58 	NORMAL    	Executing postcommand
2016-09-29_16_12_58 	NORMAL    	Executing verify
2016-09-29_16_12_58 	NORMAL    		实际测试结果：[]
2016-09-29_16_12_58 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_14_57 	NORMAL    	Executing precommand
2016-09-29_16_14_57 	NORMAL    	Executing steps
2016-09-29_16_14_57 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_16_15_01 	PASS      		Step pass.
2016-09-29_16_15_01 	NORMAL    	Executing postcommand
2016-09-29_16_15_01 	NORMAL    	Executing verify
2016-09-29_16_15_01 	NORMAL    		实际测试结果：[]
2016-09-29_16_15_01 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_16_04 	NORMAL    	Executing precommand
2016-09-29_16_16_04 	NORMAL    	Executing steps
2016-09-29_16_16_04 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_16_16_07 	PASS      		Step pass.
2016-09-29_16_16_07 	NORMAL    	Executing postcommand
2016-09-29_16_16_07 	NORMAL    	Executing verify
2016-09-29_16_16_07 	NORMAL    		实际测试结果：[]
2016-09-29_16_16_07 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_18_25 	NORMAL    	Executing precommand
2016-09-29_16_18_25 	NORMAL    	Executing steps
2016-09-29_16_18_25 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_19_06 	NORMAL    	Executing precommand
2016-09-29_16_19_06 	NORMAL    	Executing steps
2016-09-29_16_19_06 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_20_21 	NORMAL    	Executing precommand
2016-09-29_16_20_21 	NORMAL    	Executing steps
2016-09-29_16_20_21 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_21_50 	NORMAL    	Executing precommand
2016-09-29_16_21_50 	NORMAL    	Executing steps
2016-09-29_16_21_50 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_23_01 	NORMAL    	Executing precommand
2016-09-29_16_23_01 	NORMAL    	Executing steps
2016-09-29_16_23_01 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_16_23_04 	PASS      		Step pass.
2016-09-29_16_23_04 	NORMAL    	Executing postcommand
2016-09-29_16_23_04 	NORMAL    	Executing verify
2016-09-29_16_23_04 	NORMAL    		实际测试结果：[]
2016-09-29_16_23_04 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_23_53 	NORMAL    	Executing precommand
2016-09-29_16_23_53 	NORMAL    	Executing steps
2016-09-29_16_23_53 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_16_23_56 	PASS      		Step pass.
2016-09-29_16_23_56 	NORMAL    	Executing postcommand
2016-09-29_16_23_56 	NORMAL    	Executing verify
2016-09-29_16_23_56 	NORMAL    		实际测试结果：[]
2016-09-29_16_23_56 	PASS      		Verify complete.[Start example test.]
