
**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_13_59_02 	NORMAL    	Executing precommand
2016-09-29_13_59_02 	NORMAL    	Executing steps
2016-09-29_13_59_02 	NORMAL    	Executing postcommand
2016-09-29_13_59_02 	NORMAL    	Executing verify
2016-09-29_13_59_02 	NORMAL    		实际测试结果：[]
2016-09-29_13_59_02 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_00_10 	NORMAL    	Executing precommand
2016-09-29_14_00_10 	NORMAL    	Executing steps
2016-09-29_14_00_10 	NORMAL    	Executing postcommand
2016-09-29_14_00_10 	NORMAL    	Executing verify
2016-09-29_14_00_10 	NORMAL    		实际测试结果：[]
2016-09-29_14_00_10 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_01_59 	NORMAL    	Executing precommand
2016-09-29_14_01_59 	NORMAL    	Executing steps
2016-09-29_14_01_59 	NORMAL    	Executing postcommand
2016-09-29_14_01_59 	NORMAL    	Executing verify
2016-09-29_14_01_59 	NORMAL    		实际测试结果：[]
2016-09-29_14_01_59 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_04_13 	NORMAL    	Executing precommand
2016-09-29_14_04_13 	NORMAL    	Executing steps
2016-09-29_14_04_13 	NORMAL    	Executing postcommand
2016-09-29_14_04_13 	NORMAL    	Executing verify
2016-09-29_14_04_13 	NORMAL    		实际测试结果：[]
2016-09-29_14_04_13 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_07_37 	NORMAL    	Executing precommand
2016-09-29_14_07_37 	NORMAL    	Executing steps
2016-09-29_14_07_37 	NORMAL    	Executing postcommand
2016-09-29_14_07_37 	NORMAL    	Executing verify
2016-09-29_14_07_37 	NORMAL    		实际测试结果：[]
2016-09-29_14_07_37 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_20_38 	NORMAL    	Executing precommand
2016-09-29_14_20_38 	NORMAL    	Executing steps
2016-09-29_14_20_38 	NORMAL    	Executing postcommand
2016-09-29_14_20_38 	NORMAL    	Executing verify
2016-09-29_14_20_38 	NORMAL    		实际测试结果：[]
2016-09-29_14_20_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_33_14 	NORMAL    	Executing precommand
2016-09-29_14_33_14 	NORMAL    	Executing steps
2016-09-29_14_33_14 	NORMAL    	Executing postcommand
2016-09-29_14_33_14 	NORMAL    	Executing verify
2016-09-29_14_33_14 	NORMAL    		实际测试结果：[]
2016-09-29_14_33_14 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_33_20 	NORMAL    	Executing precommand
2016-09-29_14_33_20 	NORMAL    	Executing steps
2016-09-29_14_33_20 	NORMAL    	Executing postcommand
2016-09-29_14_33_20 	NORMAL    	Executing verify
2016-09-29_14_33_20 	NORMAL    		实际测试结果：[]
2016-09-29_14_33_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_34_26 	NORMAL    	Executing precommand
2016-09-29_14_34_26 	NORMAL    	Executing steps
2016-09-29_14_34_26 	NORMAL    	Executing postcommand
2016-09-29_14_34_26 	NORMAL    	Executing verify
2016-09-29_14_34_26 	NORMAL    		实际测试结果：[]
2016-09-29_14_34_26 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_45_41 	NORMAL    	Executing precommand
2016-09-29_14_45_41 	NORMAL    	Executing steps
2016-09-29_14_45_41 	NORMAL    	Executing postcommand
2016-09-29_14_45_41 	NORMAL    	Executing verify
2016-09-29_14_45_41 	NORMAL    		实际测试结果：[]
2016-09-29_14_45_41 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_47_58 	NORMAL    	Executing precommand
2016-09-29_14_47_58 	NORMAL    	Executing steps
2016-09-29_14_47_58 	NORMAL    	Executing postcommand
2016-09-29_14_47_58 	NORMAL    	Executing verify
2016-09-29_14_47_58 	NORMAL    		实际测试结果：[]
2016-09-29_14_47_58 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_50_23 	NORMAL    	Executing precommand
2016-09-29_14_50_23 	NORMAL    	Executing steps
2016-09-29_14_50_23 	NORMAL    	Executing postcommand
2016-09-29_14_50_23 	NORMAL    	Executing verify
2016-09-29_14_50_23 	NORMAL    		实际测试结果：[]
2016-09-29_14_50_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_14_54_11 	NORMAL    	Executing precommand
2016-09-29_14_54_11 	NORMAL    	Executing steps
2016-09-29_14_54_11 	NORMAL    	Executing postcommand
2016-09-29_14_54_11 	NORMAL    	Executing verify
2016-09-29_14_54_11 	NORMAL    		实际测试结果：[]
2016-09-29_14_54_11 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_06_05 	NORMAL    	Executing precommand
2016-09-29_15_06_05 	NORMAL    	Executing steps
2016-09-29_15_06_05 	NORMAL    	Executing postcommand
2016-09-29_15_06_05 	NORMAL    	Executing verify
2016-09-29_15_06_05 	NORMAL    		实际测试结果：[]
2016-09-29_15_06_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_06_36 	NORMAL    	Executing precommand
2016-09-29_15_06_36 	NORMAL    	Executing steps
2016-09-29_15_06_36 	NORMAL    	Executing postcommand
2016-09-29_15_06_36 	NORMAL    	Executing verify
2016-09-29_15_06_36 	NORMAL    		实际测试结果：[]
2016-09-29_15_06_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_09_14 	NORMAL    	Executing precommand
2016-09-29_15_09_14 	NORMAL    	Executing steps
2016-09-29_15_09_14 	NORMAL    	Executing postcommand
2016-09-29_15_09_14 	NORMAL    	Executing verify
2016-09-29_15_09_14 	NORMAL    		实际测试结果：[]
2016-09-29_15_09_14 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_10_48 	NORMAL    	Executing precommand
2016-09-29_15_10_48 	NORMAL    	Executing steps
2016-09-29_15_10_48 	NORMAL    	Executing postcommand
2016-09-29_15_10_48 	NORMAL    	Executing verify
2016-09-29_15_10_48 	NORMAL    		实际测试结果：[]
2016-09-29_15_10_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_12_16 	NORMAL    	Executing precommand
2016-09-29_15_12_16 	NORMAL    	Executing steps
2016-09-29_15_12_16 	NORMAL    	Executing postcommand
2016-09-29_15_12_16 	NORMAL    	Executing verify
2016-09-29_15_12_16 	NORMAL    		实际测试结果：[]
2016-09-29_15_12_16 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_14_07 	NORMAL    	Executing precommand
2016-09-29_15_14_07 	NORMAL    	Executing steps
2016-09-29_15_14_07 	NORMAL    	Executing postcommand
2016-09-29_15_14_07 	NORMAL    	Executing verify
2016-09-29_15_14_07 	NORMAL    		实际测试结果：[]
2016-09-29_15_14_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_20_13 	NORMAL    	Executing precommand
2016-09-29_15_20_13 	NORMAL    	Executing steps
2016-09-29_15_20_13 	NORMAL    	Executing postcommand
2016-09-29_15_20_13 	NORMAL    	Executing verify
2016-09-29_15_20_13 	NORMAL    		实际测试结果：[]
2016-09-29_15_20_13 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_21_19 	NORMAL    	Executing precommand
2016-09-29_15_21_19 	NORMAL    	Executing steps
2016-09-29_15_21_19 	NORMAL    	Executing postcommand
2016-09-29_15_21_19 	NORMAL    	Executing verify
2016-09-29_15_21_19 	NORMAL    		实际测试结果：[]
2016-09-29_15_21_19 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_38_58 	NORMAL    	Executing precommand
2016-09-29_15_38_58 	NORMAL    	Executing steps
2016-09-29_15_38_58 	NORMAL    	Executing postcommand
2016-09-29_15_38_58 	NORMAL    	Executing verify
2016-09-29_15_38_58 	NORMAL    		实际测试结果：[]
2016-09-29_15_38_58 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_47_50 	NORMAL    	Executing precommand
2016-09-29_15_47_50 	NORMAL    	Executing steps
2016-09-29_15_47_50 	NORMAL    	Executing postcommand
2016-09-29_15_47_50 	NORMAL    	Executing verify
2016-09-29_15_47_50 	NORMAL    		实际测试结果：[]
2016-09-29_15_47_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_50_33 	NORMAL    	Executing precommand
2016-09-29_15_50_33 	NORMAL    	Executing steps
2016-09-29_15_50_33 	NORMAL    	Executing postcommand
2016-09-29_15_50_33 	NORMAL    	Executing verify
2016-09-29_15_50_33 	NORMAL    		实际测试结果：[]
2016-09-29_15_50_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_15_53_42 	NORMAL    	Executing precommand
2016-09-29_15_53_43 	NORMAL    	Executing steps
2016-09-29_15_53_43 	NORMAL    	Executing postcommand
2016-09-29_15_53_43 	NORMAL    	Executing verify
2016-09-29_15_53_43 	NORMAL    		实际测试结果：[]
2016-09-29_15_53_43 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_16_07_56 	NORMAL    	Executing precommand
2016-09-29_16_07_56 	NORMAL    	Executing steps
2016-09-29_16_07_56 	NORMAL    	Executing postcommand
2016-09-29_16_07_56 	NORMAL    	Executing verify
2016-09-29_16_07_56 	NORMAL    		实际测试结果：[]
2016-09-29_16_07_56 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_16_09_05 	NORMAL    	Executing precommand
2016-09-29_16_09_05 	NORMAL    	Executing steps
2016-09-29_16_09_05 	NORMAL    	Executing postcommand
2016-09-29_16_09_05 	NORMAL    	Executing verify
2016-09-29_16_09_05 	NORMAL    		实际测试结果：[]
2016-09-29_16_09_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_16_10_27 	NORMAL    	Executing precommand
2016-09-29_16_10_27 	NORMAL    	Executing steps
2016-09-29_16_10_27 	NORMAL    	Executing postcommand
2016-09-29_16_10_27 	NORMAL    	Executing verify
2016-09-29_16_10_27 	NORMAL    		实际测试结果：[]
2016-09-29_16_10_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_16_12_51 	NORMAL    	Executing precommand
2016-09-29_16_12_51 	NORMAL    	Executing steps
2016-09-29_16_12_51 	NORMAL    	Executing postcommand
2016-09-29_16_12_51 	NORMAL    	Executing verify
2016-09-29_16_12_51 	NORMAL    		实际测试结果：[]
2016-09-29_16_12_51 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_16_14_54 	NORMAL    	Executing precommand
2016-09-29_16_14_54 	NORMAL    	Executing steps
2016-09-29_16_14_54 	NORMAL    	Executing postcommand
2016-09-29_16_14_54 	NORMAL    	Executing verify
2016-09-29_16_14_54 	NORMAL    		实际测试结果：[]
2016-09-29_16_14_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_16_16_00 	NORMAL    	Executing precommand
2016-09-29_16_16_00 	NORMAL    	Executing steps
2016-09-29_16_16_00 	NORMAL    	Executing postcommand
2016-09-29_16_16_00 	NORMAL    	Executing verify
2016-09-29_16_16_00 	NORMAL    		实际测试结果：[]
2016-09-29_16_16_00 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_16_22_57 	NORMAL    	Executing precommand
2016-09-29_16_22_57 	NORMAL    	Executing steps
2016-09-29_16_22_57 	NORMAL    	Executing postcommand
2016-09-29_16_22_57 	NORMAL    	Executing verify
2016-09-29_16_22_57 	NORMAL    		实际测试结果：[]
2016-09-29_16_22_57 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_16_23_50 	NORMAL    	Executing precommand
2016-09-29_16_23_50 	NORMAL    	Executing steps
2016-09-29_16_23_50 	NORMAL    	Executing postcommand
2016-09-29_16_23_50 	NORMAL    	Executing verify
2016-09-29_16_23_50 	NORMAL    		实际测试结果：[]
2016-09-29_16_23_50 	PASS      		Verify complete.[前置操作]
