
**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-30_11_09_21 	NORMAL    	Executing verify
2016-09-30_11_09_21 	NORMAL    		实际测试结果：[]
2016-09-30_11_09_21 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-30_11_36_02 	NORMAL    	Executing precommand
2016-09-30_11_36_02 	NORMAL    	Executing steps
2016-09-30_11_36_02 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-30_11_36_03 	PASS      		Step pass.
2016-09-30_11_36_03 	NORMAL    	Executing postcommand
2016-09-30_11_36_03 	NORMAL    	Executing verify
2016-09-30_11_36_03 	NORMAL    		实际测试结果：[]
2016-09-30_11_36_03 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-30_11_36_47 	NORMAL    	Executing precommand
2016-09-30_11_36_47 	NORMAL    	Executing steps
2016-09-30_11_36_47 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-30_11_36_47 	PASS      		Step pass.
2016-09-30_11_36_47 	NORMAL    	Executing postcommand
2016-09-30_11_36_47 	NORMAL    	Executing verify
2016-09-30_11_36_47 	NORMAL    		实际测试结果：[]
2016-09-30_11_36_47 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-30_11_50_20 	NORMAL    	Executing precommand
2016-09-30_11_50_20 	NORMAL    	Executing steps
2016-09-30_11_50_20 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-30_11_50_20 	PASS      		Step pass.
2016-09-30_11_50_20 	NORMAL    	Executing postcommand
2016-09-30_11_50_20 	NORMAL    	Executing verify
2016-09-30_11_50_20 	NORMAL    		实际测试结果：[]
2016-09-30_11_50_20 	PASS      		Verify complete.[Start example test.]
