
**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_13_12 	PASS      		Step pass.
2016-09-29_16_13_12 	STEP      		Step_5_info->LoginPC.BtnLoginPC.Name()
2016-09-29_16_13_12 	ERROR     	'classobj' object has no attribute 'BtnLoginPC'

**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_15_02 	NORMAL    	Executing precommand
2016-09-29_16_15_02 	NORMAL    	Executing steps
2016-09-29_16_15_02 	STEP      		Step_1_info->LoginPC.PwdUser.IsPassword()
2016-09-29_16_15_05 	PASS      		Step pass.
2016-09-29_16_15_05 	STEP      		Step_2_info->LoginPC.PwdUser.TypeInWin("123456")
2016-09-29_16_15_08 	PASS      		Step pass.
2016-09-29_16_15_08 	STEP      		Step_3_info->LoginPC.CkbIsSavePwd.Name()
2016-09-29_16_15_12 	PASS      		Step pass.
2016-09-29_16_15_12 	STEP      		Step_4_info->LoginPC.CkbIsSavePwd.SwitchToggle()
2016-09-29_16_15_16 	PASS      		Step pass.
2016-09-29_16_15_16 	STEP      		Step_5_info->LoginPC.BtnLoginPC.Name()
2016-09-29_16_15_16 	ERROR     	'classobj' object has no attribute 'BtnLoginPC'

**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_16_08 	NORMAL    	Executing precommand
2016-09-29_16_16_08 	NORMAL    	Executing steps
2016-09-29_16_16_08 	STEP      		Step_1_info->LoginPC.PwdUser.IsPassword()
2016-09-29_16_16_11 	PASS      		Step pass.
2016-09-29_16_16_11 	STEP      		Step_2_info->LoginPC.PwdUser.TypeInWin("123456")
2016-09-29_16_16_15 	PASS      		Step pass.
2016-09-29_16_16_15 	STEP      		Step_3_info->LoginPC.CkbIsSavePwd.Name()
2016-09-29_16_16_18 	PASS      		Step pass.
2016-09-29_16_16_18 	STEP      		Step_4_info->LoginPC.CkbIsSavePwd.SwitchToggle()
2016-09-29_16_16_22 	PASS      		Step pass.
2016-09-29_16_16_22 	STEP      		Step_5_info->LoginPC.BtnLogin.Name()
2016-09-29_16_16_25 	PASS      		Step pass.
2016-09-29_16_16_25 	STEP      		Step_6_info->LoginPC.BtnLogin.IsKeyboardFocusable()
2016-09-29_16_16_28 	PASS      		Step pass.
2016-09-29_16_16_28 	STEP      		Step_7_info->LoginPC.BtnLogin.ClickWin() 
2016-09-29_16_16_31 	ERROR     	对于未启用的元素，不允许执行此操作。
   在 MS.Internal.Automation.ElementUtil.Invoke(AutomationPeer peer, DispatcherOperationCallback work, Object arg)
   在 MS.Internal.Automation.InvokeProviderWrapper.Invoke()

**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_23_05 	NORMAL    	Executing precommand
2016-09-29_16_23_05 	NORMAL    	Executing steps
2016-09-29_16_23_05 	STEP      		Step_1_info->LoginPC.PwdUser.IsPassword()
2016-09-29_16_23_09 	PASS      		Step pass.
2016-09-29_16_23_09 	STEP      		Step_2_info->LoginPC.PwdUser.TypeInWin("123456")
2016-09-29_16_23_12 	PASS      		Step pass.
2016-09-29_16_23_12 	STEP      		Step_3_info->LoginPC.CkbIsSavePwd.Name()
2016-09-29_16_23_16 	PASS      		Step pass.
2016-09-29_16_23_16 	STEP      		Step_4_info->LoginPC.CkbIsSavePwd.SwitchToggle()
2016-09-29_16_23_19 	PASS      		Step pass.
2016-09-29_16_23_19 	STEP      		Step_5_info->LoginPC.BtnLogin.Name()
2016-09-29_16_23_22 	PASS      		Step pass.
2016-09-29_16_23_22 	STEP      		Step_6_info->LoginPC.BtnLogin.IsKeyboardFocusable()
2016-09-29_16_23_26 	PASS      		Step pass.
2016-09-29_16_23_26 	STEP      		Step_7_info->LoginPC.BtnLogin.ClickWin() 
2016-09-29_16_23_29 	ERROR     	对于未启用的元素，不允许执行此操作。
   在 MS.Internal.Automation.ElementUtil.Invoke(AutomationPeer peer, DispatcherOperationCallback work, Object arg)
   在 MS.Internal.Automation.InvokeProviderWrapper.Invoke()

**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_23_57 	NORMAL    	Executing precommand
2016-09-29_16_23_57 	NORMAL    	Executing steps
2016-09-29_16_23_57 	STEP      		Step_1_info->LoginPC.PwdUser.IsPassword()
2016-09-29_16_24_01 	PASS      		Step pass.
2016-09-29_16_24_01 	STEP      		Step_2_info->LoginPC.PwdUser.TypeInWin("123456")
2016-09-29_16_24_04 	PASS      		Step pass.
2016-09-29_16_24_04 	STEP      		Step_3_info->LoginPC.CkbIsSavePwd.Name()
2016-09-29_16_24_07 	PASS      		Step pass.
2016-09-29_16_24_07 	STEP      		Step_4_info->LoginPC.CkbIsSavePwd.SwitchToggle()
2016-09-29_16_24_11 	PASS      		Step pass.
2016-09-29_16_24_11 	STEP      		Step_5_info->LoginPC.BtnLogin.Name()
