
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-06_19_46_11 	NORMAL    	Executing steps
2016-09-06_19_46_11 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-06_19_46_13 	PASS      		Step pass.
2016-09-06_19_46_13 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-06_19_46_13 	PASS      		Step pass.
2016-09-06_19_46_13 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-06_19_46_14 	PASS      		Step pass.
2016-09-06_19_46_14 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-06_19_46_14 	PASS      		Step pass.
2016-09-06_19_46_14 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-06_19_46_14 	PASS      		Step pass.
2016-09-06_19_46_14 	NORMAL    	Executing postcommand
2016-09-06_19_46_14 	NORMAL    	Executing verify
2016-09-06_19_46_14 	NORMAL    		实际测试结果：[]
2016-09-06_19_46_14 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-06_19_46_40 	NORMAL    	Executing precommand
2016-09-06_19_46_40 	NORMAL    	Executing steps
2016-09-06_19_46_40 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-06_19_46_43 	PASS      		Step pass.
2016-09-06_19_46_43 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-06_19_46_43 	PASS      		Step pass.
2016-09-06_19_46_43 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-06_19_46_44 	PASS      		Step pass.
2016-09-06_19_46_44 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-06_19_46_44 	PASS      		Step pass.
2016-09-06_19_46_44 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-06_19_46_44 	PASS      		Step pass.
2016-09-06_19_46_44 	NORMAL    	Executing postcommand
2016-09-06_19_46_44 	NORMAL    	Executing verify
2016-09-06_19_46_44 	NORMAL    		实际测试结果：[]
2016-09-06_19_46_44 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-06_19_47_28 	NORMAL    	Executing precommand
2016-09-06_19_47_28 	NORMAL    	Executing steps
2016-09-06_19_47_28 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-06_19_47_30 	PASS      		Step pass.
2016-09-06_19_47_30 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-06_19_47_31 	PASS      		Step pass.
2016-09-06_19_47_31 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-06_19_47_32 	PASS      		Step pass.
2016-09-06_19_47_32 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-06_19_47_32 	PASS      		Step pass.
2016-09-06_19_47_32 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-06_19_47_32 	PASS      		Step pass.
2016-09-06_19_47_32 	NORMAL    	Executing postcommand
2016-09-06_19_47_32 	NORMAL    	Executing verify
2016-09-06_19_47_32 	NORMAL    		实际测试结果：[]
2016-09-06_19_47_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-06_20_11_10 	NORMAL    	Executing precommand
2016-09-06_20_11_10 	NORMAL    	Executing steps
2016-09-06_20_11_10 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-06_20_11_12 	PASS      		Step pass.
2016-09-06_20_11_12 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-06_20_11_13 	PASS      		Step pass.
2016-09-06_20_11_13 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-06_20_11_13 	PASS      		Step pass.
2016-09-06_20_11_13 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-06_20_11_13 	PASS      		Step pass.
2016-09-06_20_11_13 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-06_20_11_13 	PASS      		Step pass.
2016-09-06_20_11_13 	NORMAL    	Executing postcommand
2016-09-06_20_11_13 	NORMAL    	Executing verify
2016-09-06_20_11_13 	NORMAL    		实际测试结果：[]
2016-09-06_20_11_13 	PASS      		Verify complete.[前置操作]
