
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_16_21_50 	PASS      		Step pass.
2016-09-13_16_21_50 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_16_21_50 	PASS      		Step pass.
2016-09-13_16_21_50 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_16_21_50 	PASS      		Step pass.
2016-09-13_16_21_50 	NORMAL    	Executing postcommand
2016-09-13_16_21_50 	NORMAL    	Executing verify
2016-09-13_16_21_50 	NORMAL    		实际测试结果：[]
2016-09-13_16_21_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_16_25_11 	NORMAL    	Executing precommand
2016-09-13_16_25_11 	NORMAL    	Executing steps
2016-09-13_16_25_11 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_16_25_13 	PASS      		Step pass.
2016-09-13_16_25_14 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_16_25_15 	PASS      		Step pass.
2016-09-13_16_25_15 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_16_25_15 	PASS      		Step pass.
2016-09-13_16_25_15 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_16_25_15 	PASS      		Step pass.
2016-09-13_16_25_15 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_16_25_15 	PASS      		Step pass.
2016-09-13_16_25_15 	NORMAL    	Executing postcommand
2016-09-13_16_25_15 	NORMAL    	Executing verify
2016-09-13_16_25_15 	NORMAL    		实际测试结果：[]
2016-09-13_16_25_15 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_16_26_30 	NORMAL    	Executing precommand
2016-09-13_16_26_30 	NORMAL    	Executing steps
2016-09-13_16_26_30 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_16_26_31 	PASS      		Step pass.
2016-09-13_16_26_31 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_16_26_32 	PASS      		Step pass.
2016-09-13_16_26_32 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_16_26_32 	PASS      		Step pass.
2016-09-13_16_26_32 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_16_26_32 	PASS      		Step pass.
2016-09-13_16_26_32 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_16_26_32 	PASS      		Step pass.
2016-09-13_16_26_32 	NORMAL    	Executing postcommand
2016-09-13_16_26_32 	NORMAL    	Executing verify
2016-09-13_16_26_32 	NORMAL    		实际测试结果：[]
2016-09-13_16_26_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_16_29_21 	NORMAL    	Executing precommand
2016-09-13_16_29_21 	NORMAL    	Executing steps
2016-09-13_16_29_21 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_16_29_23 	PASS      		Step pass.
2016-09-13_16_29_23 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_16_29_24 	PASS      		Step pass.
2016-09-13_16_29_24 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_16_29_24 	PASS      		Step pass.
2016-09-13_16_29_24 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_16_29_24 	PASS      		Step pass.
2016-09-13_16_29_24 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_16_29_24 	PASS      		Step pass.
2016-09-13_16_29_24 	NORMAL    	Executing postcommand
2016-09-13_16_29_24 	NORMAL    	Executing verify
2016-09-13_16_29_24 	NORMAL    		实际测试结果：[]
2016-09-13_16_29_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_16_30_31 	NORMAL    	Executing precommand
2016-09-13_16_30_31 	NORMAL    	Executing steps
2016-09-13_16_30_31 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_16_30_33 	PASS      		Step pass.
2016-09-13_16_30_33 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_16_30_33 	PASS      		Step pass.
2016-09-13_16_30_33 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_16_30_34 	PASS      		Step pass.
2016-09-13_16_30_34 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_16_30_34 	PASS      		Step pass.
2016-09-13_16_30_34 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_16_30_34 	PASS      		Step pass.
2016-09-13_16_30_34 	NORMAL    	Executing postcommand
2016-09-13_16_30_34 	NORMAL    	Executing verify
2016-09-13_16_30_34 	NORMAL    		实际测试结果：[]
2016-09-13_16_30_34 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_16_30_54 	NORMAL    	Executing precommand
2016-09-13_16_30_54 	NORMAL    	Executing steps
2016-09-13_16_30_54 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_16_30_56 	PASS      		Step pass.
2016-09-13_16_30_56 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_16_30_57 	PASS      		Step pass.
2016-09-13_16_30_57 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_16_30_58 	PASS      		Step pass.
2016-09-13_16_30_58 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_16_30_58 	PASS      		Step pass.
2016-09-13_16_30_58 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_16_30_58 	PASS      		Step pass.
2016-09-13_16_30_58 	NORMAL    	Executing postcommand
2016-09-13_16_30_58 	NORMAL    	Executing verify
2016-09-13_16_30_58 	NORMAL    		实际测试结果：[]
2016-09-13_16_30_58 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_16_31_04 	NORMAL    	Executing precommand
2016-09-13_16_31_04 	NORMAL    	Executing steps
2016-09-13_16_31_04 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_16_31_05 	PASS      		Step pass.
2016-09-13_16_31_06 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_16_31_07 	PASS      		Step pass.
2016-09-13_16_31_07 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_16_31_07 	PASS      		Step pass.
2016-09-13_16_31_07 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_16_31_07 	PASS      		Step pass.
2016-09-13_16_31_07 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_16_31_07 	PASS      		Step pass.
2016-09-13_16_31_07 	NORMAL    	Executing postcommand
2016-09-13_16_31_07 	NORMAL    	Executing verify
2016-09-13_16_31_07 	NORMAL    		实际测试结果：[]
2016-09-13_16_31_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_16_36_55 	NORMAL    	Executing precommand
2016-09-13_16_36_55 	NORMAL    	Executing steps
2016-09-13_16_36_55 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_16_36_56 	PASS      		Step pass.
2016-09-13_16_36_56 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_16_36_58 	PASS      		Step pass.
2016-09-13_16_36_58 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_16_37_01 	PASS      		Step pass.
2016-09-13_16_37_01 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_16_37_01 	PASS      		Step pass.
2016-09-13_16_37_01 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_16_37_01 	PASS      		Step pass.
2016-09-13_16_37_01 	NORMAL    	Executing postcommand
2016-09-13_16_37_01 	NORMAL    	Executing verify
2016-09-13_16_37_01 	NORMAL    		实际测试结果：[]
2016-09-13_16_37_01 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_19_45_02 	NORMAL    	Executing precommand
2016-09-13_19_45_02 	NORMAL    	Executing steps
2016-09-13_19_45_02 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_19_45_03 	PASS      		Step pass.
2016-09-13_19_45_03 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_19_45_04 	PASS      		Step pass.
2016-09-13_19_45_04 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_19_45_04 	PASS      		Step pass.
2016-09-13_19_45_04 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_19_45_04 	PASS      		Step pass.
2016-09-13_19_45_04 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_19_45_04 	PASS      		Step pass.
2016-09-13_19_45_04 	NORMAL    	Executing postcommand
2016-09-13_19_45_04 	NORMAL    	Executing verify
2016-09-13_19_45_04 	NORMAL    		实际测试结果：[]
2016-09-13_19_45_04 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_06_33 	NORMAL    	Executing precommand
2016-09-13_20_06_33 	NORMAL    	Executing steps
2016-09-13_20_06_33 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_06_34 	PASS      		Step pass.
2016-09-13_20_06_34 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_06_35 	PASS      		Step pass.
2016-09-13_20_06_35 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_06_35 	PASS      		Step pass.
2016-09-13_20_06_36 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_06_36 	PASS      		Step pass.
2016-09-13_20_06_36 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_06_36 	PASS      		Step pass.
2016-09-13_20_06_36 	NORMAL    	Executing postcommand
2016-09-13_20_06_36 	NORMAL    	Executing verify
2016-09-13_20_06_36 	NORMAL    		实际测试结果：[]
2016-09-13_20_06_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_07_12 	NORMAL    	Executing precommand
2016-09-13_20_07_12 	NORMAL    	Executing steps
2016-09-13_20_07_12 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_07_13 	PASS      		Step pass.
2016-09-13_20_07_13 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_07_14 	PASS      		Step pass.
2016-09-13_20_07_14 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_07_14 	PASS      		Step pass.
2016-09-13_20_07_14 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_07_14 	PASS      		Step pass.
2016-09-13_20_07_14 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_07_14 	PASS      		Step pass.
2016-09-13_20_07_14 	NORMAL    	Executing postcommand
2016-09-13_20_07_14 	NORMAL    	Executing verify
2016-09-13_20_07_14 	NORMAL    		实际测试结果：[]
2016-09-13_20_07_14 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_07_53 	NORMAL    	Executing precommand
2016-09-13_20_07_53 	NORMAL    	Executing steps
2016-09-13_20_07_53 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_07_54 	PASS      		Step pass.
2016-09-13_20_07_54 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_07_55 	PASS      		Step pass.
2016-09-13_20_07_55 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_07_55 	PASS      		Step pass.
2016-09-13_20_07_55 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_07_55 	PASS      		Step pass.
2016-09-13_20_07_55 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_07_55 	PASS      		Step pass.
2016-09-13_20_07_55 	NORMAL    	Executing postcommand
2016-09-13_20_07_55 	NORMAL    	Executing verify
2016-09-13_20_07_55 	NORMAL    		实际测试结果：[]
2016-09-13_20_07_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_08_04 	NORMAL    	Executing precommand
2016-09-13_20_08_04 	NORMAL    	Executing steps
2016-09-13_20_08_04 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_08_06 	PASS      		Step pass.
2016-09-13_20_08_06 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_08_07 	PASS      		Step pass.
2016-09-13_20_08_07 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_08_07 	PASS      		Step pass.
2016-09-13_20_08_07 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_08_07 	PASS      		Step pass.
2016-09-13_20_08_07 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_08_08 	PASS      		Step pass.
2016-09-13_20_08_08 	NORMAL    	Executing postcommand
2016-09-13_20_08_08 	NORMAL    	Executing verify
2016-09-13_20_08_08 	NORMAL    		实际测试结果：[]
2016-09-13_20_08_08 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_08_52 	NORMAL    	Executing precommand
2016-09-13_20_08_52 	NORMAL    	Executing steps
2016-09-13_20_08_52 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_08_54 	PASS      		Step pass.
2016-09-13_20_08_54 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_08_55 	PASS      		Step pass.
2016-09-13_20_08_55 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_08_56 	PASS      		Step pass.
2016-09-13_20_08_56 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_08_56 	PASS      		Step pass.
2016-09-13_20_08_56 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_08_56 	PASS      		Step pass.
2016-09-13_20_08_56 	NORMAL    	Executing postcommand
2016-09-13_20_08_56 	NORMAL    	Executing verify
2016-09-13_20_08_56 	NORMAL    		实际测试结果：[]
2016-09-13_20_08_56 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_10_44 	NORMAL    	Executing precommand
2016-09-13_20_10_44 	NORMAL    	Executing steps
2016-09-13_20_10_44 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_10_45 	PASS      		Step pass.
2016-09-13_20_10_45 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_10_46 	PASS      		Step pass.
2016-09-13_20_10_46 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_10_46 	PASS      		Step pass.
2016-09-13_20_10_46 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_10_46 	PASS      		Step pass.
2016-09-13_20_10_46 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_10_46 	PASS      		Step pass.
2016-09-13_20_10_46 	NORMAL    	Executing postcommand
2016-09-13_20_10_46 	NORMAL    	Executing verify
2016-09-13_20_10_46 	NORMAL    		实际测试结果：[]
2016-09-13_20_10_46 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_35_52 	NORMAL    	Executing precommand
2016-09-13_20_35_52 	NORMAL    	Executing steps
2016-09-13_20_35_52 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_35_53 	PASS      		Step pass.
2016-09-13_20_35_53 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_35_54 	PASS      		Step pass.
2016-09-13_20_35_54 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_35_54 	PASS      		Step pass.
2016-09-13_20_35_54 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_35_54 	PASS      		Step pass.
2016-09-13_20_35_54 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_35_54 	PASS      		Step pass.
2016-09-13_20_35_54 	NORMAL    	Executing postcommand
2016-09-13_20_35_54 	NORMAL    	Executing verify
2016-09-13_20_35_54 	NORMAL    		实际测试结果：[]
2016-09-13_20_35_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_37_28 	NORMAL    	Executing precommand
2016-09-13_20_37_28 	NORMAL    	Executing steps
2016-09-13_20_37_28 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_37_31 	PASS      		Step pass.
2016-09-13_20_37_31 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_37_31 	PASS      		Step pass.
2016-09-13_20_37_31 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_37_32 	PASS      		Step pass.
2016-09-13_20_37_32 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_37_32 	PASS      		Step pass.
2016-09-13_20_37_32 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_37_32 	PASS      		Step pass.
2016-09-13_20_37_32 	NORMAL    	Executing postcommand
2016-09-13_20_37_32 	NORMAL    	Executing verify
2016-09-13_20_37_32 	NORMAL    		实际测试结果：[]
2016-09-13_20_37_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_39_17 	NORMAL    	Executing precommand
2016-09-13_20_39_17 	NORMAL    	Executing steps
2016-09-13_20_39_17 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_39_19 	PASS      		Step pass.
2016-09-13_20_39_19 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_39_20 	PASS      		Step pass.
2016-09-13_20_39_20 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_39_20 	PASS      		Step pass.
2016-09-13_20_39_20 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_39_20 	PASS      		Step pass.
2016-09-13_20_39_20 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_39_20 	PASS      		Step pass.
2016-09-13_20_39_20 	NORMAL    	Executing postcommand
2016-09-13_20_39_20 	NORMAL    	Executing verify
2016-09-13_20_39_20 	NORMAL    		实际测试结果：[]
2016-09-13_20_39_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_43_56 	NORMAL    	Executing precommand
2016-09-13_20_43_56 	NORMAL    	Executing steps
2016-09-13_20_43_56 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_43_57 	PASS      		Step pass.
2016-09-13_20_43_57 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_43_58 	PASS      		Step pass.
2016-09-13_20_43_58 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_43_59 	PASS      		Step pass.
2016-09-13_20_43_59 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_20_43_59 	PASS      		Step pass.
2016-09-13_20_43_59 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_20_43_59 	PASS      		Step pass.
2016-09-13_20_43_59 	NORMAL    	Executing postcommand
2016-09-13_20_43_59 	NORMAL    	Executing verify
2016-09-13_20_43_59 	NORMAL    		实际测试结果：[]
2016-09-13_20_43_59 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_20_54_38 	NORMAL    	Executing precommand
2016-09-13_20_54_38 	NORMAL    	Executing steps
2016-09-13_20_54_38 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_20_54_40 	PASS      		Step pass.
2016-09-13_20_54_41 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_20_54_41 	PASS      		Step pass.
2016-09-13_20_54_41 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_20_54_42 	PASS      		Step pass.
