
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_09_30_48 	NORMAL    	Executing postcommand
2016-09-21_09_30_48 	NORMAL    	Executing verify
2016-09-21_09_30_48 	NORMAL    		实际测试结果：[]
2016-09-21_09_30_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_10_22_19 	NORMAL    	Executing precommand
2016-09-21_10_22_19 	NORMAL    	Executing steps
2016-09-21_10_22_19 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_10_22_20 	PASS      		Step pass.
2016-09-21_10_22_20 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_10_22_21 	PASS      		Step pass.
2016-09-21_10_22_21 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_10_22_21 	PASS      		Step pass.
2016-09-21_10_22_21 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_10_22_22 	PASS      		Step pass.
2016-09-21_10_22_22 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_10_22_22 	PASS      		Step pass.
2016-09-21_10_22_22 	NORMAL    	Executing postcommand
2016-09-21_10_22_22 	NORMAL    	Executing verify
2016-09-21_10_22_22 	NORMAL    		实际测试结果：[]
2016-09-21_10_22_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_10_22_27 	NORMAL    	Executing precommand
2016-09-21_10_22_27 	NORMAL    	Executing steps
2016-09-21_10_22_27 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_10_22_29 	PASS      		Step pass.
2016-09-21_10_22_29 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_10_22_30 	PASS      		Step pass.
2016-09-21_10_22_30 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_10_22_30 	PASS      		Step pass.
2016-09-21_10_22_31 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_10_22_31 	PASS      		Step pass.
2016-09-21_10_22_31 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_10_22_31 	PASS      		Step pass.
2016-09-21_10_22_31 	NORMAL    	Executing postcommand
2016-09-21_10_22_31 	NORMAL    	Executing verify
2016-09-21_10_22_31 	NORMAL    		实际测试结果：[]
2016-09-21_10_22_31 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_10_31_39 	NORMAL    	Executing precommand
2016-09-21_10_31_39 	NORMAL    	Executing steps
2016-09-21_10_31_39 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_10_31_41 	PASS      		Step pass.
2016-09-21_10_31_41 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_10_31_42 	PASS      		Step pass.
2016-09-21_10_31_42 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_10_31_42 	PASS      		Step pass.
2016-09-21_10_31_42 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_10_31_42 	PASS      		Step pass.
2016-09-21_10_31_42 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_10_31_42 	PASS      		Step pass.
2016-09-21_10_31_42 	NORMAL    	Executing postcommand
2016-09-21_10_31_42 	NORMAL    	Executing verify
2016-09-21_10_31_44 	NORMAL    		实际测试结果：[]
2016-09-21_10_31_44 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_10_34_33 	NORMAL    	Executing precommand
2016-09-21_10_34_33 	NORMAL    	Executing steps
2016-09-21_10_34_33 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_10_34_35 	PASS      		Step pass.
2016-09-21_10_34_35 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_10_34_36 	PASS      		Step pass.
2016-09-21_10_34_36 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_10_34_36 	PASS      		Step pass.
2016-09-21_10_34_36 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_10_34_36 	PASS      		Step pass.
2016-09-21_10_34_36 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_10_34_36 	PASS      		Step pass.
2016-09-21_10_34_36 	NORMAL    	Executing postcommand
2016-09-21_10_34_36 	NORMAL    	Executing verify
2016-09-21_10_34_36 	NORMAL    		实际测试结果：[]
2016-09-21_10_34_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_10_35_15 	NORMAL    	Executing precommand
2016-09-21_10_35_15 	NORMAL    	Executing steps
2016-09-21_10_35_15 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_10_35_17 	PASS      		Step pass.
2016-09-21_10_35_17 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_10_35_17 	PASS      		Step pass.
2016-09-21_10_35_17 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_10_35_18 	PASS      		Step pass.
2016-09-21_10_35_18 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_10_35_18 	PASS      		Step pass.
2016-09-21_10_35_18 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_10_35_18 	PASS      		Step pass.
2016-09-21_10_35_18 	NORMAL    	Executing postcommand
2016-09-21_10_35_18 	NORMAL    	Executing verify
2016-09-21_10_35_18 	NORMAL    		实际测试结果：[]
2016-09-21_10_35_18 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_10_36_11 	NORMAL    	Executing precommand
2016-09-21_10_36_11 	NORMAL    	Executing steps
2016-09-21_10_36_11 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_10_36_13 	PASS      		Step pass.
2016-09-21_10_36_13 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_10_36_14 	PASS      		Step pass.
2016-09-21_10_36_14 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_10_36_14 	PASS      		Step pass.
2016-09-21_10_36_14 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_10_36_14 	PASS      		Step pass.
2016-09-21_10_36_14 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_10_36_15 	PASS      		Step pass.
2016-09-21_10_36_15 	NORMAL    	Executing postcommand
2016-09-21_10_36_15 	NORMAL    	Executing verify
2016-09-21_10_36_15 	NORMAL    		实际测试结果：[]
2016-09-21_10_36_15 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_10_38_52 	NORMAL    	Executing precommand
2016-09-21_10_38_52 	NORMAL    	Executing steps
2016-09-21_10_38_52 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_10_38_54 	PASS      		Step pass.
2016-09-21_10_38_54 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_10_38_54 	PASS      		Step pass.
2016-09-21_10_38_54 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_10_38_55 	PASS      		Step pass.
2016-09-21_10_38_55 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_10_38_55 	PASS      		Step pass.
2016-09-21_10_38_55 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_10_38_55 	PASS      		Step pass.
2016-09-21_10_38_55 	NORMAL    	Executing postcommand
2016-09-21_10_38_55 	NORMAL    	Executing verify
2016-09-21_10_38_55 	NORMAL    		实际测试结果：[]
2016-09-21_10_38_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_15_25_24 	NORMAL    	Executing precommand
2016-09-21_15_25_24 	NORMAL    	Executing steps
2016-09-21_15_25_24 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_15_25_25 	PASS      		Step pass.
2016-09-21_15_25_25 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_15_25_26 	PASS      		Step pass.
2016-09-21_15_25_26 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_15_25_26 	PASS      		Step pass.
2016-09-21_15_25_26 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_15_25_26 	PASS      		Step pass.
2016-09-21_15_25_26 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_15_25_27 	PASS      		Step pass.
2016-09-21_15_25_27 	NORMAL    	Executing postcommand
2016-09-21_15_25_27 	NORMAL    	Executing verify
2016-09-21_15_25_27 	NORMAL    		实际测试结果：[]
2016-09-21_15_25_27 	PASS      		Verify complete.[前置操作]
